"","Against","Team","IDGAME","Phase","Player","MIN","PTS","F2M","F2A","F2GP","F3M","F3A","F3GP","FTM","FTA","FTP","OR","DR","TR","AS","ST","TO","BLK","BLKR","PF","RF","PIR","HA","results","Team_PTS","Team_F2A","Team_F3A","Team_FTA","Team_F2M","Team_F3M","Team_FTM","Team_AS","Team_OR","Team_DR","Team_TR","Team_ST","Team_TO","Team_BLK","Team_PF","Team_PIR","Team_opp_PTS","Team_opp_F2A","Team_opp_F3A","Team_opp_FTA","Team_opp_F2M","Team_opp_F3M","Team_opp_FTM","Team_opp_AS","Team_opp_OR","Team_opp_DR","Team_opp_TR","Team_opp_ST","Team_opp_TO","Team_opp_BLK","Team_opp_PF","Team_opp_PIR","Points_per_shoot","Possesions","Offensive_rating","PIE","Assists_Ratio","As_To_ratio","EFG","FT_ratio","Game_score","True_shooting","Turnover_ratio","Usage","OR_percent","Season"
"4889","MIL","RMB","26-2","Regular Season","Rudy  Fernandez",11,3,0,0,NA,1,4,25,0,0,NA,0,0,0,0,0,0,0,0,0,1,1,"A","L",76,25,27,24,12,11,19,21,5,23,28,4,14,3,24,81,76,25,27,24,12,11,19,21,5,23,28,4,14,3,24,81,0.75,3.8,78.9,0,0,NA,37.5,0,0.6,37.5,0,3.8,0,"2023-2024"
"4890","MIL","RMB","26-2","Regular Season","Sergio  Rodriguez",21,9,0,1,0,3,7,42.9,0,0,NA,0,2,2,5,1,2,0,0,3,1,8,"A","L",76,25,27,24,12,11,19,21,5,23,28,4,14,3,24,81,76,25,27,24,12,11,19,21,5,23,28,4,14,3,24,81,1.12,9.6,93.8,0.06,52.1,2.5,56.2,0,6.5,56.2,20.83,5,0,"2023-2024"
"4891","MIL","RMB","26-2","Regular Season","Vincent  Poirier",18,6,2,6,33.3,0,0,NA,2,2,100,3,4,7,0,0,3,2,0,2,1,7,"A","L",76,25,27,24,12,11,19,21,5,23,28,4,14,3,24,81,76,25,27,24,12,11,19,21,5,23,28,4,14,3,24,81,0.75,6.6,90.9,0.03,0,0,33.3,0.33,3.5,43.6,45.45,5.7,30,"2023-2024"
"4892","MIL","RMB","26-2","Regular Season","Sergio  Llull",20,4,1,3,33.3,0,3,0,2,3,66.7,0,0,0,4,0,2,0,0,4,1,-3,"A","L",76,25,27,24,12,11,19,21,5,23,28,4,14,3,24,81,76,25,27,24,12,11,19,21,5,23,28,4,14,3,24,81,0.44,8.9,44.9,-0.04,44.9,2,16.7,0.5,-1,27.3,22.47,4.9,0,"2023-2024"
"4893","MIL","RMB","26-2","Regular Season","Guerschon  Yabusele",21,5,2,3,66.7,0,1,0,1,2,50,2,5,7,0,0,1,1,0,3,3,9,"A","L",76,25,27,24,12,11,19,21,5,23,28,4,14,3,24,81,76,25,27,24,12,11,19,21,5,23,28,4,14,3,24,81,0.83,3.7,135.1,0.04,0,0,50,0.5,4,51.2,27.03,2.9,20,"2023-2024"
"4894","RMB","MIL","26-2","Regular Season","Nicolo  Melli",22,2,0,1,0,0,4,0,2,4,50,0,4,4,3,0,2,0,0,3,2,-1,"H","W",81,36,32,18,16,12,13,15,13,22,35,6,11,0,22,78,81,36,32,18,16,12,13,15,13,22,35,6,11,0,22,78,0.22,8.4,23.8,-0.03,35.7,1.5,0,0.8,-2.2,14.8,23.81,3.7,0,"2023-2024"
"4895","RMB","MIL","26-2","Regular Season","Shabazz  Napier",16,8,3,4,75,0,5,0,2,3,66.7,2,1,3,1,0,0,0,0,4,1,2,"H","W",81,36,32,18,16,12,13,15,13,22,35,6,11,0,22,78,81,36,32,18,16,12,13,15,13,22,35,6,11,0,22,78,0.67,8,100,0,12.5,Inf,33.3,0.33,3.3,38.8,0,5.9,7.7,"2023-2024"
"4896","RMB","MIL","26-2","Regular Season","Giampaolo  Ricci",5,0,0,0,NA,0,1,0,0,0,NA,0,1,1,0,0,1,0,0,0,0,-1,"H","W",81,36,32,18,16,12,13,15,13,22,35,6,11,0,22,78,81,36,32,18,16,12,13,15,13,22,35,6,11,0,22,78,0,1.9,0,-0.01,0,0,0,0,-1.4,0,52.63,3.7,0,"2023-2024"
"4897","RMB","MIL","26-2","Regular Season","Shavon  Shields",30,27,5,6,83.3,4,8,50,5,6,83.3,1,1,2,2,2,1,0,0,3,6,29,"H","W",81,36,32,18,16,12,13,15,13,22,35,6,11,0,22,78,81,36,32,18,16,12,13,15,13,22,35,6,11,0,22,78,1.35,16,168.8,0.21,12.5,2,78.6,0.43,22.6,81.1,6.25,5.4,3.8,"2023-2024"
"4898","RMB","MIL","26-2","Regular Season","Johannes  Voigtmann",18,0,0,3,0,0,2,0,0,0,NA,2,3,5,1,1,1,0,0,3,0,-2,"H","W",81,36,32,18,16,12,13,15,13,22,35,6,11,0,22,78,81,36,32,18,16,12,13,15,13,22,35,6,11,0,22,78,0,3.8,0,-0.03,26.3,1,0,0,-1.7,0,26.32,3.1,7.7,"2023-2024"
"4899","RMB","MIL","26-2","Regular Season","Maodo  Lo",22,8,2,4,50,1,3,33.3,1,2,50,0,4,4,2,1,2,0,0,0,5,13,"H","W",81,36,32,18,16,12,13,15,13,22,35,6,11,0,22,78,81,36,32,18,16,12,13,15,13,22,35,6,11,0,22,78,0.89,9.5,84.2,0.08,21.1,1,50,0.29,5.5,50.8,21.05,4.1,0,"2023-2024"
"4900","RMB","MIL","26-2","Regular Season","Rodney  McGruder",18,7,2,6,33.3,1,1,100,0,0,NA,1,2,3,2,0,0,0,1,1,1,7,"H","W",81,36,32,18,16,12,13,15,13,22,35,6,11,0,22,78,81,36,32,18,16,12,13,15,13,22,35,6,11,0,22,78,1,5.8,120.7,0.06,34.5,Inf,50,0,5.6,50,0,3.6,3.8,"2023-2024"
"4901","RMB","MIL","26-2","Regular Season","Devon  Hall",26,4,2,6,33.3,0,1,0,0,0,NA,1,3,4,3,0,1,0,0,3,1,3,"H","W",81,36,32,18,16,12,13,15,13,22,35,6,11,0,22,78,81,36,32,18,16,12,13,15,13,22,35,6,11,0,22,78,0.57,6.7,59.7,0.01,44.8,3,28.6,0,1.4,28.6,14.93,2.8,3.8,"2023-2024"
"4902","RMB","MIL","26-2","Regular Season","Nikola  Mirotic",26,23,1,2,50,6,7,85.7,3,3,100,2,3,5,0,2,2,0,0,2,5,29,"H","W",81,36,32,18,16,12,13,15,13,22,35,6,11,0,22,78,81,36,32,18,16,12,13,15,13,22,35,6,11,0,22,78,1.92,9.9,232.3,0.22,0,0,111.1,0.33,21,111.4,20.2,4.4,7.7,"2023-2024"
"4903","RMB","MIL","26-2","Regular Season","Kyle  Hines",16,2,1,4,25,0,0,NA,0,0,NA,4,0,4,1,0,1,0,2,3,1,-1,"H","W",81,36,32,18,16,12,13,15,13,22,35,6,11,0,22,78,81,36,32,18,16,12,13,15,13,22,35,6,11,0,22,78,0.5,1,200,-0.02,100,1,25,0,0.9,25,100,2.9,15.4,"2023-2024"
"4904","BAY","PAR","26-3","Regular Season","Kevin  Punter",26,22,4,8,50,3,7,42.9,5,6,83.3,1,2,3,2,1,2,0,0,2,6,21,"H","L",78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,1.05,17.9,122.9,0.14,11.2,1,56.7,0.4,14.8,62.4,11.17,7.8,4.2,"2023-2024"
"4905","BAY","PAR","26-3","Regular Season","Alen  Smailagic",11,2,1,2,50,0,0,NA,0,0,NA,0,1,1,0,0,0,1,0,3,0,0,"H","L",78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,1,1.9,105.3,0,0,NA,50,0,0.8,50,0,1.9,0,"2023-2024"
"4906","BAY","PAR","26-3","Regular Season","James  Nunnally",23,10,2,5,40,2,4,50,0,0,NA,1,1,2,1,0,1,0,0,0,1,8,"H","L",78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,1.11,8.6,116.3,0.06,11.6,1,55.6,0,6,55.6,11.63,4.5,4.2,"2023-2024"
"4907","BAY","PAR","26-3","Regular Season","P.J.  Dozier",20,10,5,10,50,0,2,0,0,1,0,1,3,4,2,0,1,0,0,1,3,9,"H","L",78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,0.77,11.9,84,0.05,16.8,2,41.7,0.08,4.8,40.2,8.4,7,4.2,"2023-2024"
"4908","BAY","PAR","26-3","Regular Season","Bruno  Caboclo",13,2,1,2,50,0,2,0,0,0,NA,3,3,6,0,1,1,0,0,3,1,3,"H","L",78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,0.5,1.9,105.3,0,0,0,25,0,1.4,25,52.63,4,12.5,"2023-2024"
"4909","BAY","PAR","26-3","Regular Season","Zach  LeDay",29,5,2,4,50,0,0,NA,1,2,50,1,3,4,1,1,0,0,0,2,1,7,"H","L",78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,0.83,3.7,135.1,0.05,27,Inf,50,0.5,5.1,51.2,0,1.7,4.2,"2023-2024"
"4910","BAY","PAR","26-3","Regular Season","Aleksa  Avramovic",16,3,0,1,0,1,3,33.3,0,0,NA,0,2,2,1,0,1,0,1,1,1,1,"H","L",78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,0.75,4.8,62.5,0.01,20.8,1,37.5,0,0.5,37.5,20.83,3.2,0,"2023-2024"
"4911","BAY","PAR","26-3","Regular Season","Balsa  Koprivica",4,2,1,1,100,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,"H","L",78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,2,1,200,0,0,NA,100,0,0.9,100,0,2.6,0,"2023-2024"
"4912","BAY","PAR","26-3","Regular Season","Ognjen  Jaramaz",18,8,3,4,75,0,2,0,2,3,66.7,2,0,2,2,1,0,0,0,4,2,7,"H","L",78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,0.89,5.1,156.9,0.04,39.2,Inf,50,0.5,6.8,54.6,0,4.2,8.3,"2023-2024"
"4913","BAY","PAR","26-3","Regular Season","Mateusz  Ponitka",17,0,0,1,0,0,1,0,0,0,NA,1,1,2,1,0,0,0,0,3,0,-2,"H","L",78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,0,1,0,-0.02,100,Inf,0,0,-0.9,0,0,1.2,4.2,"2023-2024"
"4914","BAY","PAR","26-3","Regular Season","Frank  Kaminsky",22,14,1,1,100,4,6,66.7,0,0,NA,2,5,7,3,0,0,0,0,2,1,21,"H","L",78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,78,39,27,12,20,10,8,13,12,21,33,4,6,1,23,75,2,4.8,291.7,0.18,62.5,Inf,100,0,15.3,100,0,3.3,8.3,"2023-2024"
"4915","PAR","BAY","26-3","Regular Season","Nick  Weiler-Babb",29,9,0,1,0,3,6,50,0,0,NA,0,4,4,6,1,0,0,0,3,1,14,"A","W",79,27,27,20,14,12,15,17,6,23,29,1,6,1,17,93,79,27,27,20,14,12,15,17,6,23,29,1,6,1,17,93,1.29,6.7,134.3,0.1,89.6,Inf,64.3,0,10.5,64.3,0,2.8,0,"2023-2024"
"4916","PAR","BAY","26-3","Regular Season","Carsen  Edwards",20,12,3,6,50,2,4,50,0,0,NA,0,1,1,3,0,1,0,0,1,1,10,"A","W",79,27,27,20,14,12,15,17,6,23,29,1,6,1,17,93,79,27,27,20,14,12,15,17,6,23,29,1,6,1,17,93,1.2,10.6,113.2,0.07,28.3,3,60,0,8,60,9.43,6.4,0,"2023-2024"
"4917","PAR","BAY","26-3","Regular Season","Niels  Giffey",14,2,1,3,33.3,0,0,NA,0,0,NA,0,2,2,2,0,2,0,1,1,0,0,"A","W",79,27,27,20,14,12,15,17,6,23,29,1,6,1,17,93,79,27,27,20,14,12,15,17,6,23,29,1,6,1,17,93,0.67,4.8,41.7,0.01,41.7,1,33.3,0,-0.1,33.3,41.67,4.2,0,"2023-2024"
"4918","PAR","BAY","26-3","Regular Season","Vladimir  Lucic",31,3,0,1,0,1,4,25,0,0,NA,0,2,2,1,0,0,0,0,1,5,6,"A","W",79,27,27,20,14,12,15,17,6,23,29,1,6,1,17,93,79,27,27,20,14,12,15,17,6,23,29,1,6,1,17,93,0.6,4.8,62.5,0.01,20.8,Inf,30,0,0.8,30,0,1.9,0,"2023-2024"
"4919","PAR","BAY","26-3","Regular Season","Serge  Ibaka",22,14,6,7,85.7,0,1,0,2,2,100,1,2,3,1,0,1,0,0,4,1,12,"A","W",79,27,27,20,14,12,15,17,6,23,29,1,6,1,17,93,79,27,27,20,14,12,15,17,6,23,29,1,6,1,17,93,1.4,8.5,164.7,0.08,11.8,1,75,0.25,10.2,78.8,11.76,5.2,8.3,"2023-2024"
"4920","PAR","BAY","26-3","Regular Season","Sylvain  Francisco",20,20,0,2,0,4,7,57.1,8,10,80,1,1,2,3,0,0,0,0,2,9,25,"A","W",79,27,27,20,14,12,15,17,6,23,29,1,6,1,17,93,79,27,27,20,14,12,15,17,6,23,29,1,6,1,17,93,1.05,11.9,168.1,0.11,25.2,Inf,66.7,1.11,16.8,74.6,0,7.8,8.3,"2023-2024"
"4921","PAR","BAY","26-3","Regular Season","Dino  Radoncic",8,2,0,0,NA,0,0,NA,2,2,100,0,1,1,0,0,0,0,0,0,2,5,"A","W",79,27,27,20,14,12,15,17,6,23,29,1,6,1,17,93,79,27,27,20,14,12,15,17,6,23,29,1,6,1,17,93,1,0.8,250,0.02,0,NA,NA,Inf,2.3,113.6,0,1.3,0,"2023-2024"
"4922","PAR","BAY","26-3","Regular Season","Isaac  Bonga",24,0,0,1,0,0,2,0,0,2,0,1,6,7,1,0,1,1,0,0,2,5,"A","W",79,27,27,20,14,12,15,17,6,23,29,1,6,1,17,93,79,27,27,20,14,12,15,17,6,23,29,1,6,1,17,93,0,3.7,0,0.01,27,1,0,0.67,0,0,27.03,2.4,8.3,"2023-2024"
"4923","PAR","BAY","26-3","Regular Season","Andreas  Obst",13,6,0,0,NA,2,3,66.7,0,0,NA,0,1,1,0,0,0,0,0,2,0,4,"A","W",79,27,27,20,14,12,15,17,6,23,29,1,6,1,17,93,79,27,27,20,14,12,15,17,6,23,29,1,6,1,17,93,2,2.9,206.9,0.03,0,NA,100,0,4.2,100,0,2.7,0,"2023-2024"
"4924","PAR","BAY","26-3","Regular Season","Danko   Brankovic",18,11,4,6,66.7,0,0,NA,3,4,75,3,3,6,0,0,1,0,0,3,2,12,"A","W",79,27,27,20,14,12,15,17,6,23,29,1,6,1,17,93,79,27,27,20,14,12,15,17,6,23,29,1,6,1,17,93,1.1,5.5,200,0.06,0,0,66.7,0.67,8.8,70.9,18.18,5.7,25,"2023-2024"
"4925","OLY","VAL","26-4","Regular Season","Nate  Reuvers",14,3,0,2,0,1,2,50,0,0,NA,0,4,4,0,1,1,0,0,3,1,2,"H","L",65,30,23,18,18,5,14,17,4,25,29,9,15,0,25,67,65,30,23,18,18,5,14,17,4,25,29,9,15,0,25,67,0.75,4.8,62.5,0.01,0,0,37.5,0,0.6,37.5,20.83,3.8,0,"2023-2024"
"4926","OLY","VAL","26-4","Regular Season","Justin  Anderson",18,4,2,2,100,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,3,0,0,"H","L",65,30,23,18,18,5,14,17,4,25,29,9,15,0,25,67,65,30,23,18,18,5,14,17,4,25,29,9,15,0,25,67,1.33,2.9,137.9,0,0,NA,66.7,0,1.5,66.7,0,1.8,0,"2023-2024"
"4927","OLY","VAL","26-4","Regular Season","Chris  Jones",24,2,1,5,20,0,3,0,0,0,NA,0,2,2,6,3,3,0,0,2,1,2,"H","L",65,30,23,18,18,5,14,17,4,25,29,9,15,0,25,67,65,30,23,18,18,5,14,17,4,25,29,9,15,0,25,67,0.25,10.6,18.9,0.01,56.6,2,12.5,0,0.8,12.5,28.3,4.8,0,"2023-2024"
"4928","OLY","VAL","26-4","Regular Season","Damien  Inglis",26,7,3,4,75,0,1,0,1,1,100,0,5,5,2,0,1,0,0,3,2,10,"H","L",65,30,23,18,18,5,14,17,4,25,29,9,15,0,25,67,65,30,23,18,18,5,14,17,4,25,29,9,15,0,25,67,1.17,6.2,112.9,0.09,32.3,2,60,0.2,5.4,64.3,16.13,2.6,0,"2023-2024"
"4929","OLY","VAL","26-4","Regular Season","Kassius  Robertson",14,5,0,0,NA,1,4,25,2,2,100,0,2,2,0,0,0,0,0,1,2,5,"H","L",65,30,23,18,18,5,14,17,4,25,29,9,15,0,25,67,65,30,23,18,18,5,14,17,4,25,29,9,15,0,25,67,0.83,4.7,106.4,0.03,0,NA,37.5,0.5,2.8,51.2,0,3.7,0,"2023-2024"
