"Against","Team","IDGAME","Phase","Player","MIN","PTS","F2M","F2A","F2GP","F3M","F3A","F3GP","FTM","FTA","FTP","OR","DR","TR","AS","ST","TO","BLK","BLKR","PF","RF","PIR","HA","results","Team_PTS","Team_F2A","Team_F3A","Team_FTA","Team_F2M","Team_F3M","Team_FTM","Team_AS","Team_OR","Team_DR","Team_TR","Team_ST","Team_TO","Team_BLK","Team_PF","Team_PIR","Team_opp_PTS","Team_opp_F2A","Team_opp_F3A","Team_opp_FTA","Team_opp_F2M","Team_opp_F3M","Team_opp_FTM","Team_opp_AS","Team_opp_OR","Team_opp_DR","Team_opp_TR","Team_opp_ST","Team_opp_TO","Team_opp_BLK","Team_opp_PF","Team_opp_PIR","Points_per_shoot","Possesions","Offensive_rating","PIE","Assists_Ratio","As_To_ratio","EFG","FT_ratio","Game_score","True_shooting","Turnover_ratio","Usage","OR_percent","Season"
"MIL","KHI","11_5","Regular Season","James  Anderson",31,6,3,5,60,0,3,0,0,0,NA,0,5,5,0,0,2,0,0,4,1,1,"A","W",77,34,22,11,23,7,10,13,5,25,30,6,12,0,23,80,77,34,22,11,23,7,10,13,5,25,30,6,12,0,23,80,0.75,9.6,62.5,0,0,0,37.5,0,-0.5,37.5,20.83,3.5,0,"2017-2018"
"MIL","KHI","11_5","Regular Season","Charles  Jenkins",24,10,3,4,75,0,5,0,4,4,100,2,2,4,2,0,0,0,1,2,4,11,"A","W",77,34,22,11,23,7,10,13,5,25,30,6,12,0,23,80,77,34,22,11,23,7,10,13,5,25,30,6,12,0,23,80,0.77,8.4,119,0.06,23.8,Inf,33.3,0.44,7.5,46.5,0,4.9,20,"2017-2018"
"MIL","KHI","11_5","Regular Season","Malcolm  Thomas",18,8,4,4,100,0,1,0,0,0,NA,2,3,5,3,2,1,0,0,3,0,13,"A","W",77,34,22,11,23,7,10,13,5,25,30,6,12,0,23,80,77,34,22,11,23,7,10,13,5,25,30,6,12,0,23,80,1.6,3.8,210.5,0.1,78.9,3,80,0,10.3,80,26.32,3.7,20,"2017-2018"
"MIL","KHI","11_5","Regular Season","Tyler  Honeycutt",21,4,2,6,33.3,0,1,0,0,0,NA,1,6,7,1,1,1,0,1,1,1,6,"A","W",77,34,22,11,23,7,10,13,5,25,30,6,12,0,23,80,77,34,22,11,23,7,10,13,5,25,30,6,12,0,23,80,0.57,6.7,59.7,0.04,14.9,1,28.6,0,2.7,28.6,14.93,4.2,10,"2017-2018"
"MIL","KHI","11_5","Regular Season","Viacheslav  Zaytsev",12,0,0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,1,0,0,1,0,-3,"A","W",77,34,22,11,23,7,10,13,5,25,30,6,12,0,23,80,77,34,22,11,23,7,10,13,5,25,30,6,12,0,23,80,0,1.9,0,-0.02,0,0,0,0,-2.1,0,52.63,1.8,0,"2017-2018"
"MIL","KHI","11_5","Regular Season","Dmitri  Sokolov",2,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,1,0,0,1,0,-2,"A","W",77,34,22,11,23,7,10,13,5,25,30,6,12,0,23,80,77,34,22,11,23,7,10,13,5,25,30,6,12,0,23,80,NA,1,0,-0.02,0,0,NA,NA,-1.4,NA,100,5.5,0,"2017-2018"
"MIL","KHI","11_5","Regular Season","Sergei  Monia",1,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,1,0,0,0,0,-1,"A","W",77,34,22,11,23,7,10,13,5,25,30,6,12,0,23,80,77,34,22,11,23,7,10,13,5,25,30,6,12,0,23,80,NA,1,0,-0.01,0,0,NA,NA,-1,NA,100,11,0,"2017-2018"
"MIL","KHI","11_5","Regular Season","Marko  Todorovic",19,2,1,2,50,0,0,NA,0,0,NA,0,3,3,3,0,2,0,1,3,0,1,"A","W",77,34,22,11,23,7,10,13,5,25,30,6,12,0,23,80,77,34,22,11,23,7,10,13,5,25,30,6,12,0,23,80,1,3.8,52.6,0.02,78.9,1.5,50,0,0.8,50,52.63,2.3,0,"2017-2018"
"MIL","KHI","11_5","Regular Season","Andrey  Zubkov",24,15,3,3,100,2,2,100,3,3,100,0,2,2,0,1,0,0,0,4,4,18,"A","W",77,34,22,11,23,7,10,13,5,25,30,6,12,0,23,80,77,34,22,11,23,7,10,13,5,25,30,6,12,0,23,80,1.88,6.1,245.9,0.11,0,NA,120,0.6,13.5,118.7,0,2.9,0,"2017-2018"
"CRV","EFE","11_6","Regular Season","Josh  Adams",22,12,2,4,50,2,2,100,2,4,50,1,3,4,4,0,2,0,0,0,4,18,"A","L",81,40,14,23,22,6,19,19,8,18,26,1,15,2,17,86,81,40,14,23,22,6,19,19,8,18,26,1,15,2,17,86,1.2,8.4,142.9,0.11,47.6,2,83.3,0.67,11,77.3,23.81,4.5,6.2,"2017-2018"
