"Fixture","Phase","IDGAME","Home","Away","Home_Points","Away_Points","Q1H","Q2H","Q3H","Q4H","Q1A","Q2A","Q3A","Q4A","EXH","EXA","Winner","Loser","Home_win","Away_win","Season"
1,"Regular Season","1_1","KHI","MAC",89,83,24,24,27,14,21,19,21,22,0,0,"KHI","MAC",1,0,"2019-2020"
1,"Regular Season","1_2","PAN","CRV",87,82,14,23,29,21,17,18,18,29,0,0,"PAN","CRV",1,0,"2019-2020"
1,"Regular Season","1_3","BAY","MIL",78,64,22,20,19,17,23,11,16,14,0,0,"BAY","MIL",1,0,"2019-2020"
1,"Regular Season","1_4","RMB","FEN",81,77,30,13,21,17,21,21,13,22,0,0,"RMB","FEN",1,0,"2019-2020"
1,"Regular Season","1_5","ZAL","BAS",58,70,19,11,16,12,19,18,18,15,0,0,"BAS","ZAL",0,1,"2019-2020"
1,"Regular Season","1_6","EFE","BAR",64,74,14,12,20,18,19,18,12,25,0,0,"BAR","EFE",0,1,"2019-2020"
1,"Regular Season","1_7","BER","ZEN",85,65,24,23,20,18,18,13,19,15,0,0,"BER","ZEN",1,0,"2019-2020"
1,"Regular Season","1_8","VIL","OLY",82,63,21,19,16,26,24,9,14,16,0,0,"VIL","OLY",1,0,"2019-2020"
1,"Regular Season","1_9","VAL","CSK",71,96,17,21,16,17,24,26,26,20,0,0,"CSK","VAL",0,1,"2019-2020"
2,"Regular Season","2_1","CSK","BAY",79,68,22,25,13,19,18,22,10,18,0,0,"CSK","BAY",1,0,"2019-2020"
2,"Regular Season","2_2","CRV","FEN",68,56,15,20,16,17,16,14,13,13,0,0,"CRV","FEN",1,0,"2019-2020"
2,"Regular Season","2_3","VIL","PAN",79,78,22,18,10,29,22,24,17,15,0,0,"VIL","PAN",1,0,"2019-2020"
2,"Regular Season","2_4","RMB","MAC",86,85,22,28,15,21,22,22,21,20,0,0,"RMB","MAC",1,0,"2019-2020"
2,"Regular Season","2_5","ZEN","BAR",63,87,20,20,16,7,19,24,16,28,0,0,"BAR","ZEN",0,1,"2019-2020"
2,"Regular Season","2_6","KHI","BAS",79,76,27,16,19,17,17,22,16,21,0,0,"KHI","BAS",1,0,"2019-2020"
2,"Regular Season","2_7","EFE","BER",106,105,27,16,26,26,25,15,32,23,11,10,"EFE","BER",1,0,"2019-2020"
2,"Regular Season","2_8","OLY","VAL",89,63,31,23,18,17,22,8,14,19,0,0,"OLY","VAL",1,0,"2019-2020"
2,"Regular Season","2_9","MIL","ZAL",85,81,23,20,21,21,7,29,23,22,0,0,"MIL","ZAL",1,0,"2019-2020"
3,"Regular Season","3_1","CSK","KHI",99,86,29,25,22,23,20,24,16,26,0,0,"CSK","KHI",1,0,"2019-2020"
3,"Regular Season","3_2","ZAL","RMB",86,73,18,20,19,29,15,19,26,13,0,0,"ZAL","RMB",1,0,"2019-2020"
3,"Regular Season","3_3","FEN","BAS",87,80,22,17,24,24,22,14,22,22,0,0,"FEN","BAS",1,0,"2019-2020"
3,"Regular Season","3_4","MAC","CRV",84,69,24,15,16,12,13,17,17,20,17,2,"MAC","CRV",1,0,"2019-2020"
3,"Regular Season","3_5","BAY","VIL",104,63,30,27,26,21,13,22,16,12,0,0,"BAY","VIL",1,0,"2019-2020"
3,"Regular Season","3_6","PAN","MIL",78,79,20,18,19,21,24,14,23,18,0,0,"MIL","PAN",0,1,"2019-2020"
3,"Regular Season","3_7","OLY","ZEN",68,77,19,17,11,17,20,18,15,11,4,13,"ZEN","OLY",0,1,"2019-2020"
3,"Regular Season","3_8","BAR","BER",103,84,19,27,26,31,25,19,17,23,0,0,"BAR","BER",1,0,"2019-2020"
3,"Regular Season","3_9","VAL","EFE",78,83,27,19,17,15,23,16,30,14,0,0,"EFE","VAL",0,1,"2019-2020"
4,"Regular Season","4_1","ZEN","PAN",79,89,20,18,22,19,22,18,25,24,0,0,"PAN","ZEN",0,1,"2019-2020"
4,"Regular Season","4_2","EFE","RMB",76,60,15,14,27,20,11,20,19,10,0,0,"EFE","RMB",1,0,"2019-2020"
4,"Regular Season","4_3","MAC","VAL",76,63,18,15,23,20,11,17,16,19,0,0,"MAC","VAL",1,0,"2019-2020"
4,"Regular Season","4_4","BAY","KHI",74,87,19,18,18,19,17,27,26,17,0,0,"KHI","BAY",0,1,"2019-2020"
4,"Regular Season","4_5","CRV","BAR",65,73,16,20,13,16,12,21,24,16,0,0,"BAR","CRV",0,1,"2019-2020"
4,"Regular Season","4_6","ZAL","VIL",70,56,14,19,22,15,20,8,17,11,0,0,"ZAL","VIL",1,0,"2019-2020"
4,"Regular Season","4_7","BER","CSK",66,82,15,19,8,24,17,22,22,21,0,0,"CSK","BER",0,1,"2019-2020"
4,"Regular Season","4_8","MIL","FEN",87,74,20,21,25,21,11,18,26,19,0,0,"MIL","FEN",1,0,"2019-2020"
4,"Regular Season","4_9","BAS","OLY",82,66,23,18,17,24,21,15,13,17,0,0,"BAS","OLY",1,0,"2019-2020"
5,"Regular Season","5_1","KHI","PAN",103,86,25,25,27,26,29,26,18,13,0,0,"KHI","PAN",1,0,"2019-2020"
5,"Regular Season","5_2","EFE","CRV",85,70,21,17,18,29,9,17,25,19,0,0,"EFE","CRV",1,0,"2019-2020"
5,"Regular Season","5_3","BER","MIL",78,81,18,15,17,28,17,9,27,28,0,0,"MIL","BER",0,1,"2019-2020"
5,"Regular Season","5_4","VIL","BAS",66,63,16,14,18,18,23,13,13,14,0,0,"VIL","BAS",1,0,"2019-2020"
5,"Regular Season","5_5","CSK","OLY",79,84,24,15,21,19,18,25,21,20,0,0,"OLY","CSK",0,1,"2019-2020"
5,"Regular Season","5_6","ZAL","ZEN",70,82,18,10,15,19,14,14,16,18,8,20,"ZEN","ZAL",0,1,"2019-2020"
5,"Regular Season","5_7","MAC","FEN",67,55,12,29,11,15,6,15,20,14,0,0,"MAC","FEN",1,0,"2019-2020"
5,"Regular Season","5_8","BAY","RMB",95,86,22,19,26,28,20,18,19,29,0,0,"BAY","RMB",1,0,"2019-2020"
5,"Regular Season","5_9","BAR","VAL",83,77,21,23,18,21,19,22,24,12,0,0,"BAR","VAL",1,0,"2019-2020"
6,"Regular Season","6_1","CRV","KHI",90,78,28,22,30,10,22,19,15,22,0,0,"CRV","KHI",1,0,"2019-2020"
6,"Regular Season","6_2","PAN","EFE",86,70,24,18,21,23,19,19,16,16,0,0,"PAN","EFE",1,0,"2019-2020"
6,"Regular Season","6_3","ZEN","CSK",70,87,15,22,22,11,26,22,13,26,0,0,"CSK","ZEN",0,1,"2019-2020"
6,"Regular Season","6_4","FEN","ZAL",76,79,17,23,19,17,17,16,19,27,0,0,"ZAL","FEN",0,1,"2019-2020"
6,"Regular Season","6_5","VAL","VIL",81,72,16,19,21,25,18,18,16,20,0,0,"VAL","VIL",1,0,"2019-2020"
6,"Regular Season","6_6","MIL","BAR",83,70,15,15,22,31,20,17,21,12,0,0,"MIL","BAR",1,0,"2019-2020"
6,"Regular Season","6_7","OLY","MAC",65,90,21,19,16,9,24,21,23,22,0,0,"MAC","OLY",0,1,"2019-2020"
6,"Regular Season","6_8","BAS","BAY",93,60,29,23,14,27,10,19,18,13,0,0,"BAS","BAY",1,0,"2019-2020"
6,"Regular Season","6_9","RMB","BER",85,71,28,14,22,21,14,24,18,15,0,0,"RMB","BER",1,0,"2019-2020"
7,"Regular Season","7_1","ZEN","KHI",73,87,28,15,17,13,28,24,16,19,0,0,"KHI","ZEN",0,1,"2019-2020"
7,"Regular Season","7_2","CRV","RMB",60,75,9,18,25,8,12,21,16,26,0,0,"RMB","CRV",0,1,"2019-2020"
7,"Regular Season","7_3","OLY","EFE",67,86,24,11,23,9,21,32,14,19,0,0,"EFE","OLY",0,1,"2019-2020"
7,"Regular Season","7_4","MAC","BER",104,78,21,31,31,21,19,18,18,23,0,0,"MAC","BER",1,0,"2019-2020"
7,"Regular Season","7_5","MIL","BAS",81,74,14,26,16,25,19,15,19,21,0,0,"MIL","BAS",1,0,"2019-2020"
7,"Regular Season","7_6","FEN","BAY",90,82,18,22,21,29,15,24,23,20,0,0,"FEN","BAY",1,0,"2019-2020"
7,"Regular Season","7_7","ZAL","BAR",86,93,20,20,21,25,23,24,19,27,0,0,"BAR","ZAL",0,1,"2019-2020"
7,"Regular Season","7_8","PAN","VAL",91,80,26,19,23,23,18,17,29,16,0,0,"PAN","VAL",1,0,"2019-2020"
7,"Regular Season","7_9","VIL","CSK",67,66,12,21,17,17,17,13,22,14,0,0,"VIL","CSK",1,0,"2019-2020"
8,"Regular Season","8_1","KHI","MIL",87,79,22,25,18,22,25,26,14,14,0,0,"KHI","MIL",1,0,"2019-2020"
8,"Regular Season","8_2","EFE","ZEN",90,88,21,21,27,21,14,16,20,38,0,0,"EFE","ZEN",1,0,"2019-2020"
8,"Regular Season","8_3","PAN","BER",95,96,31,18,20,19,31,27,16,14,7,8,"BER","PAN",0,1,"2019-2020"
8,"Regular Season","8_4","BAS","MAC",83,113,21,11,26,25,28,27,31,27,0,0,"MAC","BAS",0,1,"2019-2020"
8,"Regular Season","8_5","RMB","BAR",86,76,32,16,23,15,14,36,14,12,0,0,"RMB","BAR",1,0,"2019-2020"
8,"Regular Season","8_6","CSK","FEN",88,70,21,18,25,24,17,17,15,21,0,0,"CSK","FEN",1,0,"2019-2020"
8,"Regular Season","8_7","CRV","VIL",72,74,16,20,18,11,14,18,15,18,7,9,"VIL","CRV",0,1,"2019-2020"
8,"Regular Season","8_8","OLY","ZAL",83,74,19,18,23,23,18,21,16,19,0,0,"OLY","ZAL",1,0,"2019-2020"
8,"Regular Season","8_9","VAL","BAY",82,56,20,19,20,23,16,13,18,9,0,0,"VAL","BAY",1,0,"2019-2020"
9,"Regular Season","9_1","ZAL","PAN",85,86,16,17,20,32,19,22,23,22,0,0,"PAN","ZAL",0,1,"2019-2020"
9,"Regular Season","9_2","BER","CRV",93,80,21,25,21,26,15,19,20,26,0,0,"BER","CRV",1,0,"2019-2020"
9,"Regular Season","9_3","BAY","OLY",85,82,23,20,12,30,17,27,19,19,0,0,"BAY","OLY",1,0,"2019-2020"
9,"Regular Season","9_4","VIL","EFE",84,90,22,23,21,18,25,21,24,20,0,0,"EFE","VIL",0,1,"2019-2020"
9,"Regular Season","9_5","MIL","MAC",92,88,21,26,24,21,21,21,22,24,0,0,"MIL","MAC",1,0,"2019-2020"
9,"Regular Season","9_6","RMB","KHI",104,76,31,34,27,12,25,17,14,20,0,0,"RMB","KHI",1,0,"2019-2020"
9,"Regular Season","9_7","VAL","ZEN",94,90,15,18,24,37,16,22,25,27,0,0,"VAL","ZEN",1,0,"2019-2020"
9,"Regular Season","9_8","BAR","FEN",89,63,25,19,23,22,15,15,10,23,0,0,"BAR","FEN",1,0,"2019-2020"
9,"Regular Season","9_9","BAS","CSK",80,70,24,21,17,18,19,23,17,11,0,0,"BAS","CSK",1,0,"2019-2020"
10,"Regular Season","10_1","ZAL","CRV",59,61,21,10,15,13,16,17,14,14,0,0,"CRV","ZAL",0,1,"2019-2020"
10,"Regular Season","10_2","BER","OLY",80,99,17,21,19,23,30,25,21,23,0,0,"OLY","BER",0,1,"2019-2020"
10,"Regular Season","10_3","MIL","EFE",76,81,17,22,21,16,16,25,21,19,0,0,"EFE","MIL",0,1,"2019-2020"
10,"Regular Season","10_4","VAL","KHI",89,84,26,25,21,17,33,15,22,14,0,0,"VAL","KHI",1,0,"2019-2020"
10,"Regular Season","10_5","BAY","PAN",75,87,24,11,18,22,16,20,29,22,0,0,"PAN","BAY",0,1,"2019-2020"
10,"Regular Season","10_6","VIL","FEN",72,88,16,20,16,20,19,29,19,21,0,0,"FEN","VIL",0,1,"2019-2020"
