"Against","Team","IDGAME","Phase","Player","MIN","PTS","F2M","F2A","F2GP","F3M","F3A","F3GP","FTM","FTA","FTP","OR","DR","TR","AS","ST","TO","BLK","BLKR","PF","RF","PIR","HA","results","Team_PTS","Team_F2A","Team_F3A","Team_FTA","Team_F2M","Team_F3M","Team_FTM","Team_AS","Team_OR","Team_DR","Team_TR","Team_ST","Team_TO","Team_BLK","Team_PF","Team_PIR","Team_opp_PTS","Team_opp_F2A","Team_opp_F3A","Team_opp_FTA","Team_opp_F2M","Team_opp_F3M","Team_opp_FTM","Team_opp_AS","Team_opp_OR","Team_opp_DR","Team_opp_TR","Team_opp_ST","Team_opp_TO","Team_opp_BLK","Team_opp_PF","Team_opp_PIR","Points_per_shoot","Possesions","Offensive_rating","PIE","Assists_Ratio","As_To_ratio","EFG","FT_ratio","Game_score","True_shooting","Turnover_ratio","Usage","OR_percent","Season"
"BAR","CSK","1_1","Regular Season","Nando  de Colo",23,17,5,8,62.5,0,3,0,7,7,100,0,5,5,2,1,4,0,0,1,7,21,"H","W",95,42,22,34,17,10,31,21,8,31,39,8,13,4,27,110,95,42,22,34,17,10,31,21,8,31,39,8,13,4,27,110,0.94,17.4,97.7,0.09,11.5,0.5,45.5,0.64,10.8,60.4,22.99,6.8,0,"2018-2019"
"BAR","CSK","1_1","Regular Season","Alec  Peters",9,0,0,0,NA,0,0,NA,0,0,NA,0,2,2,0,0,1,0,0,3,0,-2,"H","W",95,42,22,34,17,10,31,21,8,31,39,8,13,4,27,110,95,42,22,34,17,10,31,21,8,31,39,8,13,4,27,110,NA,1,0,-0.01,0,0,NA,NA,-1.6,NA,100,1,0,"2018-2019"
"BAR","CSK","1_1","Regular Season","Daniel  Hackett",11,7,1,3,33.3,1,1,100,2,2,100,0,0,0,2,0,2,0,1,4,2,2,"H","W",95,42,22,34,17,10,31,21,8,31,39,8,13,4,27,110,95,42,22,34,17,10,31,21,8,31,39,8,13,4,27,110,1.17,6.6,106.1,0.01,30.3,1,62.5,0.5,2.8,71.7,30.3,5.4,0,"2018-2019"
"BAR","CSK","1_1","Regular Season","Nikita  Kurbanov",15,6,1,2,50,1,1,100,1,2,50,1,3,4,3,0,1,2,0,1,1,12,"H","W",95,42,22,34,17,10,31,21,8,31,39,8,13,4,27,110,95,42,22,34,17,10,31,21,8,31,39,8,13,4,27,110,1.2,3.7,162.2,0.06,81.1,3,83.3,0.67,8,77.3,27.03,2.8,6.2,"2018-2019"
"BAR","CSK","1_1","Regular Season","Othello  Hunter",19,6,1,3,33.3,0,0,NA,4,4,100,0,1,1,0,2,0,0,0,3,3,7,"H","W",95,42,22,34,17,10,31,21,8,31,39,8,13,4,27,110,95,42,22,34,17,10,31,21,8,31,39,8,13,4,27,110,0.86,4.6,130.4,0.02,0,NA,33.3,1.33,5.4,63,0,2.2,0,"2018-2019"
"BAR","CSK","1_1","Regular Season","Ivan  Ukhov",4,1,0,1,0,0,0,NA,1,1,100,0,0,0,0,0,1,0,0,2,0,-3,"H","W",95,42,22,34,17,10,31,21,8,31,39,8,13,4,27,110,95,42,22,34,17,10,31,21,8,31,39,8,13,4,27,110,0.5,2.3,43.5,-0.02,0,0,0,1,-1.5,34.7,43.48,5.3,0,"2018-2019"
"BAR","CSK","1_1","Regular Season","Semen  Antonov",8,0,0,1,0,0,0,NA,0,0,NA,1,1,2,0,0,0,0,0,1,0,0,"H","W",95,42,22,34,17,10,31,21,8,31,39,8,13,4,27,110,95,42,22,34,17,10,31,21,8,31,39,8,13,4,27,110,0,0,NA,0,NA,NA,0,0,-0.1,0,NA,1.1,6.2,"2018-2019"
"BAR","CSK","1_1","Regular Season","Sergio  Rodriguez",22,12,1,2,50,2,4,50,4,4,100,1,1,2,4,0,2,0,0,2,4,15,"H","W",95,42,22,34,17,10,31,21,8,31,39,8,13,4,27,110,95,42,22,34,17,10,31,21,8,31,39,8,13,4,27,110,1.2,8.4,142.9,0.06,47.6,2,66.7,0.67,10,77.3,23.81,3.9,6.2,"2018-2019"
"BAR","CSK","1_1","Regular Season","Andrey  Vorontsevich",19,7,0,1,0,1,5,20,4,4,100,0,4,4,3,0,0,1,1,1,2,10,"H","W",95,42,22,34,17,10,31,21,8,31,39,8,13,4,27,110,95,42,22,34,17,10,31,21,8,31,39,8,13,4,27,110,0.7,7.4,94.6,0.05,40.5,Inf,25,0.67,6.8,45.1,0,3.6,0,"2018-2019"
"BAR","CSK","1_1","Regular Season","Will  Clyburn",26,13,4,7,57.1,0,1,0,5,7,71.4,3,6,9,4,0,2,0,1,2,7,22,"H","W",95,42,22,34,17,10,31,21,8,31,39,8,13,4,27,110,95,42,22,34,17,10,31,21,8,31,39,8,13,4,27,110,0.87,9.7,134,0.09,41.2,2,50,0.88,12.1,58.7,20.62,4.4,18.8,"2018-2019"
