"Fixture","Phase","IDGAME","Home","Away","Home_Points","Away_Points","Q1H","Q2H","Q3H","Q4H","Q1A","Q2A","Q3A","Q4A","EXH","EXA","Winner","Loser","Home_win","Away_win","Season"
1,"Regular Season","1_1","RMB","OLY",83,65,24,18,20,21,17,23,13,12,0,0,"RMB","OLY",1,0,"2016-2017"
1,"Regular Season","1_2","GAL","CSK",84,109,18,27,26,13,27,30,24,28,0,0,"CSK","GAL",0,1,"2016-2017"
1,"Regular Season","1_3","MIL","MAC",99,97,25,19,28,27,24,20,21,32,0,0,"MIL","MAC",1,0,"2016-2017"
1,"Regular Season","1_4","CRV","DAR",70,73,24,20,8,18,17,13,16,27,0,0,"DAR","CRV",0,1,"2016-2017"
1,"Regular Season","1_5","UNS","BAR",63,69,21,15,15,12,23,11,9,26,0,0,"BAR","UNS",0,1,"2016-2017"
1,"Regular Season","1_6","FEN","BAM",67,66,18,18,17,14,22,11,18,15,0,0,"FEN","BAM",1,0,"2016-2017"
1,"Regular Season","1_7","PAN","ZAL",84,76,20,17,14,33,15,15,22,24,0,0,"PAN","ZAL",1,0,"2016-2017"
1,"Regular Season","1_8","BAS","EFE",85,84,25,24,19,17,27,24,22,11,0,0,"BAS","EFE",1,0,"2016-2017"
2,"Regular Season","2_1","OLY","EFE",90,66,28,13,21,28,16,17,20,13,0,0,"OLY","EFE",1,0,"2016-2017"
2,"Regular Season","2_2","BAM","UNS",89,86,19,22,19,29,17,27,23,19,0,0,"BAM","UNS",1,0,"2016-2017"
2,"Regular Season","2_3","MAC","RMB",82,89,16,17,24,25,20,26,16,27,0,0,"RMB","MAC",0,1,"2016-2017"
2,"Regular Season","2_4","DAR","MIL",80,81,23,18,17,22,24,22,14,21,0,0,"MIL","DAR",0,1,"2016-2017"
2,"Regular Season","2_5","ZAL","BAS",78,73,20,14,27,17,23,17,21,12,0,0,"ZAL","BAS",1,0,"2016-2017"
2,"Regular Season","2_6","CSK","PAN",81,77,22,13,22,24,19,11,28,19,0,0,"CSK","PAN",1,0,"2016-2017"
2,"Regular Season","2_7","GAL","CRV",83,85,30,17,20,16,17,30,22,16,0,0,"CRV","GAL",0,1,"2016-2017"
2,"Regular Season","2_8","BAR","FEN",72,73,19,17,15,21,21,19,13,20,0,0,"FEN","BAR",0,1,"2016-2017"
3,"Regular Season","3_1","UNS","DAR",87,94,29,18,12,28,28,18,19,29,0,0,"DAR","UNS",0,1,"2016-2017"
3,"Regular Season","3_2","EFE","CSK",87,93,23,14,26,24,26,23,20,24,0,0,"CSK","EFE",0,1,"2016-2017"
3,"Regular Season","3_3","OLY","MIL",91,81,25,21,24,21,19,22,20,20,0,0,"OLY","MIL",1,0,"2016-2017"
3,"Regular Season","3_4","RMB","BAS",87,91,19,24,23,21,32,22,15,22,0,0,"BAS","RMB",0,1,"2016-2017"
3,"Regular Season","3_5","CRV","BAR",76,65,9,31,20,16,16,15,17,17,0,0,"CRV","BAR",1,0,"2016-2017"
3,"Regular Season","3_6","FEN","ZAL",82,68,28,16,19,19,24,13,19,12,0,0,"FEN","ZAL",1,0,"2016-2017"
3,"Regular Season","3_7","BAM","PAN",83,84,15,22,26,20,20,22,20,22,0,0,"PAN","BAM",0,1,"2016-2017"
3,"Regular Season","3_8","MAC","GAL",98,92,18,26,25,29,24,23,18,27,0,0,"MAC","GAL",1,0,"2016-2017"
4,"Regular Season","4_1","CSK","UNS",98,80,23,24,21,30,20,23,12,25,0,0,"CSK","UNS",1,0,"2016-2017"
4,"Regular Season","4_2","DAR","EFE",79,84,20,26,19,14,13,22,23,26,0,0,"EFE","DAR",0,1,"2016-2017"
4,"Regular Season","4_3","MIL","RMB",90,101,20,21,25,24,26,26,23,26,0,0,"RMB","MIL",0,1,"2016-2017"
4,"Regular Season","4_4","BAS","OLY",90,95,27,25,22,16,22,25,25,23,0,0,"OLY","BAS",0,1,"2016-2017"
4,"Regular Season","4_5","ZAL","MAC",74,87,16,16,25,17,21,22,21,23,0,0,"MAC","ZAL",0,1,"2016-2017"
4,"Regular Season","4_6","GAL","FEN",87,103,19,22,23,23,22,26,22,33,0,0,"FEN","GAL",0,1,"2016-2017"
