Against,Team,IDGAME,Phase,Player,MIN,PTS,F2M,F2A,F2GP,F3M,F3A,F3GP,FTM,FTA,FTP,OR,DR,TR,AS,ST,TO,BLK,BLKR,PF,RF,PIR,HA,results,Team_PTS,Team_F2A,Team_F3A,Team_FTA,Team_F2M,Team_F3M,Team_FTM,Team_AS,Team_OR,Team_DR,Team_TR,Team_ST,Team_TO,Team_BLK,Team_PF,Team_PIR,Team_opp_PTS,Team_opp_F2A,Team_opp_F3A,Team_opp_FTA,Team_opp_F2M,Team_opp_F3M,Team_opp_FTM,Team_opp_AS,Team_opp_OR,Team_opp_DR,Team_opp_TR,Team_opp_ST,Team_opp_TO,Team_opp_BLK,Team_opp_PF,Team_opp_PIR,Points_per_shoot,Possesions,Offensive_rating,PIE,Assists_Ratio,As_To_ratio,EFG,FT_ratio,Game_score,True_shooting,Turnover_ratio,Usage,OR_percent,Season
KHI,MAC,1-Jan,Regular Season,Elijah  Bryant,17,10,2,4,50,1,2,50,3,4,75,1,0,1,1,0,2,0,0,5,2,3,A,L,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,1,8.4,119,0,11.9,0.5,58.3,0.67,4,64.4,23.81,5.3,6.2,2019-2020
KHI,MAC,1-Jan,Regular Season,Omri  Casspi,23,13,4,5,80,0,2,0,5,6,83.3,0,6,6,3,1,1,0,0,1,3,20,A,L,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,1,10.2,127.5,0.14,29.4,3,57.1,0.86,12.8,67.4,9.8,4.3,0,2019-2020
KHI,MAC,1-Jan,Regular Season,Scottie  Wilbekin,26,9,1,2,50,2,8,25,1,1,100,0,1,1,3,1,2,0,0,4,4,5,A,L,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,0.82,11.9,75.6,0.01,25.2,1.5,40,0.1,3,43.1,16.81,4.4,0,2019-2020
KHI,MAC,1-Jan,Regular Season,Tarik  Black,29,17,6,8,75,0,0,,5,6,83.3,2,1,3,1,0,0,1,0,2,6,23,A,L,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,1.21,8.3,204.8,0.13,12,,75,0.75,15.7,79.9,0,3.4,12.5,2019-2020
KHI,MAC,1-Jan,Regular Season,Yovel  Zoosman,20,4,2,4,50,0,4,0,0,1,0,1,1,2,1,1,1,0,0,2,2,0,A,L,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,0.44,8.1,49.4,-0.02,12.3,1,25,0.12,-0.3,23.7,12.35,4.3,6.2,2019-2020
KHI,MAC,1-Jan,Regular Season,Quincy  Acy,17,4,2,2,100,0,2,0,0,0,,1,7,8,1,1,2,0,0,2,1,9,A,L,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,1,4.8,83.3,0.06,20.8,0.5,50,0,3.7,50,41.67,3.2,6.2,2019-2020
KHI,MAC,1-Jan,Regular Season,Othello  Hunter,18,11,5,6,83.3,0,0,,1,3,33.3,3,5,8,0,1,0,0,0,1,3,19,A,L,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,1.22,4.1,268.3,0.12,0,,83.3,0.5,12.2,75.1,0,3.7,18.8,2019-2020
KHI,MAC,1-Jan,Regular Season,Deni  Avdija,10,0,0,0,,0,1,0,0,0,,0,1,1,3,0,1,2,0,2,0,2,A,L,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,0,1.9,0,0.01,157.9,3,0,0,1.3,0,52.63,1.8,0,2019-2020
KHI,MAC,1-Jan,Regular Season,Tyler  Dorsey,10,2,1,5,20,0,0,,0,0,,0,1,1,0,1,2,0,1,0,0,-3,A,L,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,0.4,6.7,29.9,-0.02,0,0,20,0,-1.8,20,29.85,6.4,0,2019-2020
KHI,MAC,1-Jan,Regular Season,John  Dibartolomeo,10,6,0,0,,1,2,50,3,3,100,0,1,1,1,0,2,0,0,2,2,5,A,L,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,1.2,5.1,117.6,0.02,19.6,0.5,75,1.5,3.2,90.4,39.22,4.9,0,2019-2020
KHI,MAC,1-Jan,Regular Season,Nate  Wolters,19,7,3,4,75,0,1,0,1,1,100,0,1,1,1,0,1,0,0,1,0,5,A,L,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,83,40,22,25,26,4,19,15,8,25,33,6,14,3,22,88,1.17,6.2,112.9,0.04,16.1,1,60,0.2,4.3,64.3,16.13,3.1,0,2019-2020
MAC,KHI,1-Jan,Regular Season,Alexey  Shved,30,22,4,7,57.1,2,10,20,8,10,80,0,2,2,6,0,3,1,0,1,5,19,H,W,89,32,35,27,13,14,21,18,13,23,36,10,9,1,25,92,89,32,35,27,13,14,21,18,13,23,36,10,9,1,25,92,0.81,23.4,94,0.1,25.6,2,41.2,0.59,13.8,51.4,12.82,7.4,0,2019-2020
MAC,KHI,1-Jan,Regular Season,Devin   Booker,19,4,1,4,25,0,0,,2,2,100,3,3,6,0,2,1,0,0,2,1,7,H,W,89,32,35,27,13,14,21,18,13,23,36,10,9,1,25,92,89,32,35,27,13,14,21,18,13,23,36,10,9,1,25,92,0.67,2.8,142.9,0.03,0,0,25,0.5,4.8,41,35.71,2.8,11.5,2019-2020
MAC,KHI,1-Jan,Regular Season,Janis  Timma,34,17,1,3,33.3,5,12,41.7,0,0,,1,3,4,1,4,1,0,0,5,2,13,H,W,89,32,35,27,13,14,21,18,13,23,36,10,9,1,25,92,89,32,35,27,13,14,21,18,13,23,36,10,9,1,25,92,1.13,14.4,118.1,0.08,6.9,1,56.7,0,12.2,56.7,6.94,4.3,3.8,2019-2020
MAC,KHI,1-Jan,Regular Season,Jonas  Jerebko,24,14,2,7,28.6,2,5,40,4,6,66.7,1,6,7,0,2,1,0,2,2,3,11,H,W,89,32,35,27,13,14,21,18,13,23,36,10,9,1,25,92,89,32,35,27,13,14,21,18,13,23,36,10,9,1,25,92,0.78,14.1,99.3,0.07,0,0,41.7,0.5,9.1,47.8,7.09,5.9,3.8,2019-2020
