Against,Team,IDGAME,Phase,Player,MIN,PTS,F2M,F2A,F2GP,F3M,F3A,F3GP,FTM,FTA,FTP,OR,DR,TR,AS,ST,TO,BLK,BLKR,PF,RF,PIR,HA,results,Team_PTS,Team_F2A,Team_F3A,Team_FTA,Team_F2M,Team_F3M,Team_FTM,Team_AS,Team_OR,Team_DR,Team_TR,Team_ST,Team_TO,Team_BLK,Team_PF,Team_PIR,Team_opp_PTS,Team_opp_F2A,Team_opp_F3A,Team_opp_FTA,Team_opp_F2M,Team_opp_F3M,Team_opp_FTM,Team_opp_AS,Team_opp_OR,Team_opp_DR,Team_opp_TR,Team_opp_ST,Team_opp_TO,Team_opp_BLK,Team_opp_PF,Team_opp_PIR,Points_per_shoot,Possesions,Offensive_rating,PIE,Assists_Ratio,As_To_ratio,EFG,FT_ratio,Game_score,True_shooting,Turnover_ratio,Usage,OR_percent,Season
EFE,ZEN,1-1,Regular Season,Kelvin  Rivers,29,14,4,5,80,2,4,50,0,0,#ΑΡΙΘ!,0,5,5,1,1,2,0,0,4,0,12,A,W,73,32,23,16,19,7,14,19,5,27,32,3,11,5,21,85,73,32,23,16,19,7,14,19,5,27,32,3,11,5,21,85,1.56,10.6,132.1,0.09,9.4,0.5,77.8,0,9.7,77.8,18.87,4.2,0,2020-2021
EFE,ZEN,1-1,Regular Season,Kevin  Pangos,28,23,5,5,100,3,9,33.3,4,4,100,0,1,1,7,1,5,0,0,2,6,25,A,W,73,32,23,16,19,7,14,19,5,27,32,3,11,5,21,85,73,32,23,16,19,7,14,19,5,27,32,3,11,5,21,85,1.28,19.9,115.6,0.15,35.2,1.4,67.9,0.29,16.8,73,25.13,8.1,0,2020-2021
EFE,ZEN,1-1,Regular Season,Austin  Hollins,12,5,0,0,#ΑΡΙΘ!,1,3,33.3,2,3,66.7,0,0,0,0,0,0,0,1,2,2,1,A,W,73,32,23,16,19,7,14,19,5,27,32,3,11,5,21,85,73,32,23,16,19,7,14,19,5,27,32,3,11,5,21,85,0.83,4.1,122,0,0,#ΑΡΙΘ!,50,1,2.1,57.9,0,3.9,0,2020-2021
EFE,ZEN,1-1,Regular Season,Will  Thomas,20,0,0,2,0,0,1,0,0,0,#ΑΡΙΘ!,2,4,6,2,0,0,0,0,2,2,5,A,W,73,32,23,16,19,7,14,19,5,27,32,3,11,5,21,85,73,32,23,16,19,7,14,19,5,27,32,3,11,5,21,85,0,1,0,0.02,200,#ΑΡΙΘ!,0,0,1.1,0,0,1.6,20,2020-2021
EFE,ZEN,1-1,Regular Season,Alex  Poythress,20,7,3,5,60,0,0,#ΑΡΙΘ!,1,1,100,0,3,3,1,0,1,2,1,3,1,7,A,W,73,32,23,16,19,7,14,19,5,27,32,3,11,5,21,85,73,32,23,16,19,7,14,19,5,27,32,3,11,5,21,85,1.17,6.2,112.9,0.05,16.1,1,60,0.2,5.5,64.3,16.13,3.5,0,2020-2021
EFE,ZEN,1-1,Regular Season,Vitaly  Fridzon,17,7,2,2,100,1,1,100,0,0,#ΑΡΙΘ!,0,1,1,1,0,1,0,0,1,1,8,A,W,73,32,23,16,19,7,14,19,5,27,32,3,11,5,21,85,73,32,23,16,19,7,14,19,5,27,32,3,11,5,21,85,2.33,3.8,184.2,0.05,26.3,1,116.7,0,5.7,116.7,26.32,2.6,0,2020-2021
EFE,ZEN,1-1,Regular Season,Billy   Baron,16,2,1,2,50,0,2,0,0,0,#ΑΡΙΘ!,0,5,5,3,0,0,0,1,1,2,7,A,W,73,32,23,16,19,7,14,19,5,27,32,3,11,5,21,85,73,32,23,16,19,7,14,19,5,27,32,3,11,5,21,85,0.5,3.8,52.6,0.05,78.9,#ΑΡΙΘ!,25,0,2.8,25,0,2.7,0,2020-2021
EFE,ZEN,1-1,Regular Season,Andrey  Zubkov,20,4,2,4,50,0,1,0,0,0,#ΑΡΙΘ!,0,2,2,1,1,1,0,0,1,1,4,A,W,73,32,23,16,19,7,14,19,5,27,32,3,11,5,21,85,73,32,23,16,19,7,14,19,5,27,32,3,11,5,21,85,0.8,5.8,69,0.02,17.2,1,40,0,2.2,40,17.24,3.3,0,2020-2021
EFE,ZEN,1-1,Regular Season,Mateusz  Ponitka,18,4,0,0,#ΑΡΙΘ!,0,2,0,4,4,100,2,2,4,2,0,0,0,0,1,2,9,A,W,73,32,23,16,19,7,14,19,5,27,32,3,11,5,21,85,73,32,23,16,19,7,14,19,5,27,32,3,11,5,21,85,0.67,1.7,235.3,0.05,117.6,#ΑΡΙΘ!,0,2,5.6,53.2,0,2.3,20,2020-2021
EFE,ZEN,1-1,Regular Season,Artūras  Gudaitis,20,7,2,7,28.6,0,0,#ΑΡΙΘ!,3,4,75,1,4,5,1,0,1,3,2,4,4,7,A,W,73,32,23,16,19,7,14,19,5,27,32,3,11,5,21,85,73,32,23,16,19,7,14,19,5,27,32,3,11,5,21,85,0.64,8.4,83.3,0.02,11.9,1,28.6,0.57,4.6,40,11.9,5.3,10,2020-2021
ZEN,EFE,1-1,Regular Season,Chris  Singleton,22,4,0,1,0,0,1,0,4,4,100,0,5,5,0,0,1,1,0,2,3,8,H,L,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,0.67,4.6,87,0.05,0,0,0,2,3,53.2,21.74,2.3,0,2020-2021
ZEN,EFE,1-1,Regular Season,Vasilije  Micic,34,17,7,12,58.3,0,4,0,3,3,100,2,0,2,9,0,3,0,2,4,5,15,H,L,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,0.89,17.6,96.6,0.13,51.1,3,43.8,0.19,11.7,49.1,17.05,6.4,50,2020-2021
ZEN,EFE,1-1,Regular Season,James  Anderson,9,2,0,0,#ΑΡΙΘ!,0,0,#ΑΡΙΘ!,2,2,100,0,1,1,0,2,0,0,0,2,1,4,H,L,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,1,0.8,250,0.03,0,#ΑΡΙΘ!,#ΑΡΙΘ!,#ΑΡΙΘ!,3.5,113.6,0,1,0,2020-2021
ZEN,EFE,1-1,Regular Season,Bryant  Dunston,16,4,2,4,50,0,1,0,0,2,0,0,1,1,1,0,1,1,0,0,1,2,H,L,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,0.57,6.6,60.6,0.01,15.2,1,40,0.4,1.2,34,15.15,4.6,0,2020-2021
ZEN,EFE,1-1,Regular Season,Krunoslav  Simon,31,14,1,2,50,4,9,44.4,0,0,#ΑΡΙΘ!,0,3,3,2,0,0,0,0,0,3,16,H,L,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,1.27,10.6,132.1,0.15,18.9,#ΑΡΙΘ!,63.6,0,10.6,63.6,0,3.8,0,2020-2021
ZEN,EFE,1-1,Regular Season,Rodrigue  Beaubois,25,12,3,3,100,2,5,40,0,0,#ΑΡΙΘ!,0,3,3,0,0,2,2,0,2,3,13,H,L,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,1.5,9.6,125,0.1,0,0,75,0,7.9,75,20.83,4.3,0,2020-2021
ZEN,EFE,1-1,Regular Season,Dogus  Balbay,7,1,0,0,#ΑΡΙΘ!,0,2,0,1,2,50,0,0,0,0,0,0,0,0,4,1,-5,H,L,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,0.25,2.8,35.7,-0.07,0,#ΑΡΙΘ!,0,1,-2.4,17.4,0,4.4,0,2020-2021
ZEN,EFE,1-1,Regular Season,Tolga  Gecim,8,0,0,2,0,0,1,0,0,0,#ΑΡΙΘ!,0,2,2,1,0,0,0,1,0,0,-1,H,L,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,0,2.9,0,0,34.5,#ΑΡΙΘ!,0,0,-0.8,0,0,4,0,2020-2021
ZEN,EFE,1-1,Regular Season,Sertac  Sanli,8,4,2,4,50,0,0,#ΑΡΙΘ!,0,0,#ΑΡΙΘ!,0,0,0,0,0,0,1,2,4,0,-3,H,L,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,1,3.8,105.3,-0.02,0,#ΑΡΙΘ!,50,0,1.1,50,0,5.3,0,2020-2021
ZEN,EFE,1-1,Regular Season,Adrien  Moerman,23,8,2,2,100,1,3,33.3,1,2,50,0,5,5,0,1,0,0,0,1,2,12,H,L,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,1.14,5.6,142.9,0.11,0,#ΑΡΙΘ!,70,0.4,7.4,68,0,2.7,0,2020-2021
ZEN,EFE,1-1,Regular Season,Bugrahan  Tuncer,4,0,0,1,0,0,0,#ΑΡΙΘ!,0,0,#ΑΡΙΘ!,0,0,0,0,0,0,0,0,1,1,-1,H,L,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,0,1,0,-0.02,0,#ΑΡΙΘ!,0,0,-1.1,0,0,2.7,0,2020-2021
ZEN,EFE,1-1,Regular Season,Tibor  Pleiss,13,3,1,2,50,0,1,0,1,1,100,0,2,2,0,1,1,0,0,1,1,3,H,L,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,69,33,27,16,18,7,12,13,2,22,24,4,8,5,21,63,0.75,4.3,69.8,0.02,0,0,33.3,0.33,1.5,43.6,23.26,3.6,0,2020-2021
BAR,CSK,1-2,Regular Season,Mike  James,28,13,2,3,66.7,1,5,20,6,9,66.7,0,1,1,4,0,6,0,1,2,6,7,A,L,66,33,27,18,15,8,12,16,8,17,25,4,13,1,19,55,66,33,27,18,15,8,12,16,8,17,25,4,13,1,19,55,0.76,17.2,75.6,0.03,23.3,0.7,43.8,1.12,3.7,54.3,34.88,6.3,0,2020-2021
BAR,CSK,1-2,Regular Season,Ivan  Ukhov,6,3,0,1,0,1,3,33.3,0,0,#ΑΡΙΘ!,0,1,1,0,0,1,0,1,0,1,0,A,L,66,33,27,18,15,8,12,16,8,17,25,4,13,1,19,55,66,33,27,18,15,8,12,16,8,17,25,4,13,1,19,55,0.75,4.8,62.5,0,0,0,37.5,0,-0.1,37.5,20.83,8.2,0,2020-2021
BAR,CSK,1-2,Regular Season,Johannes  Voigtmann,15,2,1,2,50,0,3,0,0,0,#ΑΡΙΘ!,1,3,4,2,0,0,0,0,3,1,2,A,L,66,33,27,18,15,8,12,16,8,17,25,4,13,1,19,55,66,33,27,18,15,8,12,16,8,17,25,4,13,1,19,55,0.4,3.8,52.6,0.01,52.6,#ΑΡΙΘ!,20,0,0.7,20,0,3.3,6.2,2020-2021
BAR,CSK,1-2,Regular Season,Tornike  Shengelia,32,15,4,6,66.7,1,4,25,4,4,100,3,2,5,3,0,0,1,0,3,4,20,A,L,66,33,27,18,15,8,12,16,8,17,25,4,13,1,19,55,66,33,27,18,15,8,12,16,8,17,25,4,13,1,19,55,1.07,8.4,178.6,0.22,35.7,#ΑΡΙΘ!,55,0.4,14.3,63.8,0,3.6,18.8,2020-2021
BAR,CSK,1-2,Regular Season,Nikita  Kurbanov,15,0,0,0,#ΑΡΙΘ!,0,0,#ΑΡΙΘ!,0,0,#ΑΡΙΘ!,0,2,2,1,0,1,0,0,1,0,1,A,L,66,33,27,18,15,8,12,16,8,17,25,4,13,1,19,55,66,33,27,18,15,8,12,16,8,17,25,4,13,1,19,55,#ΑΡΙΘ!,1,0,0.02,100,1,#ΑΡΙΘ!,#ΑΡΙΘ!,-0.1,#ΑΡΙΘ!,100,0.7,0,2020-2021
BAR,CSK,1-2,Regular Season,Joel  Bolomboy,21,6,3,6,50,0,1,0,0,0,#ΑΡΙΘ!,2,2,4,0,1,3,0,2,1,1,2,A,L,66,33,27,18,15,8,12,16,8,17,25,4,13,1,19,55,66,33,27,18,15,8,12,16,8,17,25,4,13,1,19,55,0.86,7.7,77.9,0.03,0,0,42.9,0,1.9,42.9,38.96,4.7,12.5,2020-2021
BAR,CSK,1-2,Regular Season,Darrun  Hilliard,23,8,1,4,25,2,4,50,0,0,#ΑΡΙΘ!,0,2,2,3,1,0,0,0,5,0,4,A,L,66,33,27,18,15,8,12,16,8,17,25,4,13,1,19,55,66,33,27,18,15,8,12,16,8,17,25,4,13,1,19,55,1,7.7,103.9,0.06,39,#ΑΡΙΘ!,50,0,5.3,50,0,3.4,0,2020-2021
