Against,Team,IDGAME,Phase,Player,MIN,PTS,F2M,F2A,F2GP,F3M,F3A,F3GP,FTM,FTA,FTP,OR,DR,TR,AS,ST,TO,BLK,BLKR,PF,RF,PIR,HA,results,Team_PTS,Team_F2A,Team_F3A,Team_FTA,Team_F2M,Team_F3M,Team_FTM,Team_AS,Team_OR,Team_DR,Team_TR,Team_ST,Team_TO,Team_BLK,Team_PF,Team_PIR,Team_opp_PTS,Team_opp_F2A,Team_opp_F3A,Team_opp_FTA,Team_opp_F2M,Team_opp_F3M,Team_opp_FTM,Team_opp_AS,Team_opp_OR,Team_opp_DR,Team_opp_TR,Team_opp_ST,Team_opp_TO,Team_opp_BLK,Team_opp_PF,Team_opp_PIR,Points_per_shoot,Possesions,Offensive_rating,PIE,Assists_Ratio,As_To_ratio,EFG,FT_ratio,Game_score,True_shooting,Turnover_ratio,Usage,OR_percent,Season
MIL,VIL,1-1,Regular season,Amine  Noua,32,6,3,6,50,0,3,0,0,0,#ΑΡΙΘ!,1,7,8,3,0,1,1,1,3,0,7,H,L,62,38,18,13,17,6,10,14,4,22,26,8,17,2,18,56,62,38,18,13,17,6,10,14,4,22,26,8,17,2,18,56,0.67,8.6,69.8,0.09,34.9,3,33.3,0,4.3,33.3,11.63,15.9,12.5,2022-2023
MIL,VIL,1-1,Regular season,Nando  de Colo,30,18,3,9,33.3,3,5,60,3,3,100,0,5,5,4,2,6,0,0,2,6,19,H,L,62,38,18,13,17,6,10,14,4,22,26,8,17,2,18,56,62,38,18,13,17,6,10,14,4,22,26,8,17,2,18,56,1.06,20.5,87.8,0.17,19.5,0.7,53.6,0.21,10.1,58.7,29.27,36.1,0,2022-2023
MIL,VIL,1-1,Regular season,Youssoupha  Fall,23,11,4,6,66.7,0,0,#ΑΡΙΘ!,3,4,75,0,4,4,0,0,4,0,1,3,4,8,H,L,62,38,18,13,17,6,10,14,4,22,26,8,17,2,18,56,62,38,18,13,17,6,10,14,4,22,26,8,17,2,18,56,1.1,11.3,97.3,0.07,0,0,66.7,0.67,4,70.9,35.4,26,0,2022-2023
MIL,VIL,1-1,Regular season,David  Lighty,32,12,3,8,37.5,1,2,50,3,5,60,1,1,2,3,0,1,0,1,2,4,9,H,L,62,38,18,13,17,6,10,14,4,22,26,8,17,2,18,56,62,38,18,13,17,6,10,14,4,22,26,8,17,2,18,56,0.8,11.7,102.6,0.07,25.6,3,45,0.5,7.1,49.2,8.55,21,12.5,2022-2023
MIL,VIL,1-1,Regular season,Retin  Obasohan,20,2,1,3,33.3,0,1,0,0,0,#ΑΡΙΘ!,0,1,1,3,2,3,0,0,3,1,0,H,L,62,38,18,13,17,6,10,14,4,22,26,8,17,2,18,56,62,38,18,13,17,6,10,14,4,22,26,8,17,2,18,56,0.5,6.7,29.9,-0.01,44.8,1,25,0,-0.2,25,44.78,17.8,0,2022-2023
MIL,VIL,1-1,Regular season,Yves  Pons,24,2,1,1,100,0,1,0,0,0,#ΑΡΙΘ!,2,0,2,0,2,1,1,0,1,1,5,H,L,62,38,18,13,17,6,10,14,4,22,26,8,17,2,18,56,62,38,18,13,17,6,10,14,4,22,26,8,17,2,18,56,1,1,200,0.03,0,0,50,0,3.7,50,100,6.4,25,2022-2023
MIL,VIL,1-1,Regular season,Jonah  Mathews,25,11,2,5,40,2,6,33.3,1,1,100,0,2,2,1,1,1,0,0,2,1,6,H,L,62,38,18,13,17,6,10,14,4,22,26,8,17,2,18,56,62,38,18,13,17,6,10,14,4,22,26,8,17,2,18,56,0.92,11.9,92.4,0.07,8.4,1,45.5,0.09,5.4,48.1,8.4,25.3,0,2022-2023
MIL,VIL,1-1,Regular season,Anthony  Polite,6,0,0,0,#ΑΡΙΘ!,0,0,#ΑΡΙΘ!,0,0,#ΑΡΙΘ!,0,2,2,0,1,0,0,0,1,0,2,H,L,62,38,18,13,17,6,10,14,4,22,26,8,17,2,18,56,62,38,18,13,17,6,10,14,4,22,26,8,17,2,18,56,#ΑΡΙΘ!,0,#ΑΡΙΘ!,0.03,#ΑΡΙΘ!,#ΑΡΙΘ!,#ΑΡΙΘ!,#ΑΡΙΘ!,1.2,#ΑΡΙΘ!,#ΑΡΙΘ!,0,0,2022-2023
MIL,VIL,1-1,Regular season,Antoine  Diot,7,0,0,0,#ΑΡΙΘ!,0,0,#ΑΡΙΘ!,0,0,#ΑΡΙΘ!,0,0,0,0,0,0,0,0,1,1,0,H,L,62,38,18,13,17,6,10,14,4,22,26,8,17,2,18,56,62,38,18,13,17,6,10,14,4,22,26,8,17,2,18,56,#ΑΡΙΘ!,0,#ΑΡΙΘ!,-0.01,#ΑΡΙΘ!,#ΑΡΙΘ!,#ΑΡΙΘ!,#ΑΡΙΘ!,-0.4,#ΑΡΙΘ!,#ΑΡΙΘ!,0,0,2022-2023
VIL,MIL,1-1,Regular season,Kevin  Pangos,24,3,0,2,0,1,7,14.3,0,0,#ΑΡΙΘ!,1,3,4,2,1,2,0,0,1,2,1,A,W,69,37,23,14,17,8,11,17,10,28,38,7,16,3,18,78,69,37,23,14,17,8,11,17,10,28,38,7,16,3,18,78,0.33,9.6,31.2,-0.01,20.8,1,16.7,0,-1.3,16.7,20.83,22.3,5,2022-2023
