"Fixture","Phase","IDGAME","Home","Away","Home_Points","Away_Points","Q1H","Q2H","Q3H","Q4H","Q1A","Q2A","Q3A","Q4A","EXH","EXA","Winner","Loser","Home_win","Away_win","Season"
1,"Regular Season","1_1","VIL","MIL",62,69,23,21,10,8,14,27,15,13,0,0,"MIL","VIL",0,1,"2022-2023"
1,"Regular Season","1_2","PAN","RMB",68,71,22,15,14,17,23,15,16,17,0,0,"RMB","PAN",0,1,"2022-2023"
1,"Regular Season","1_3","MAC","ZAL",84,83,30,16,25,13,27,21,17,18,0,0,"MAC","ZAL",1,0,"2022-2023"
1,"Regular Season","1_4","VAL","BAS",71,81,21,12,23,15,19,20,20,22,0,0,"BAS","VAL",0,1,"2022-2023"
1,"Regular Season","1_5","BAY","FEN",62,74,19,15,12,16,21,19,19,15,0,0,"FEN","BAY",0,1,"2022-2023"
1,"Regular Season","1_6","EFE","CRV",72,59,17,18,21,16,14,20,16,9,0,0,"EFE","CRV",1,0,"2022-2023"
1,"Regular Season","1_7","BER","PAR",100,84,33,28,16,23,18,25,18,23,0,0,"BER","PAR",1,0,"2022-2023"
1,"Regular Season","1_8","BOL","ASM",66,83,18,16,11,21,18,22,23,20,0,0,"ASM","BOL",0,1,"2022-2023"
1,"Regular Season","1_9","BAR","OLY",70,80,16,12,21,21,13,21,23,23,0,0,"OLY","BAR",0,1,"2022-2023"
2,"Regular Season","2_1","CRV","PAN",75,77,24,14,18,19,18,24,15,20,0,0,"PAN","CRV",0,1,"2022-2023"
2,"Regular Season","2_2","ASM","EFE",95,92,12,24,22,24,20,15,25,22,13,10,"ASM","EFE",1,0,"2022-2023"
2,"Regular Season","2_3","BOL","BAY",66,63,24,10,22,10,16,16,19,12,0,0,"BOL","BAY",1,0,"2022-2023"
2,"Regular Season","2_4","BAR","RMB",75,73,24,16,23,12,15,15,22,21,0,0,"BAR","RMB",1,0,"2022-2023"
2,"Regular Season","2_5","BAS","PAR",103,99,14,32,21,22,23,19,26,21,14,10,"BAS","PAR",1,0,"2022-2023"
2,"Regular Season","2_6","MIL","BER",74,80,12,18,21,19,26,12,22,10,4,10,"BER","MIL",0,1,"2022-2023"
2,"Regular Season","2_7","OLY","ZAL",90,80,18,26,23,23,21,14,23,22,0,0,"OLY","ZAL",1,0,"2022-2023"
2,"Regular Season","2_8","FEN","MAC",86,71,23,23,19,21,20,12,20,19,0,0,"FEN","MAC",1,0,"2022-2023"
2,"Regular Season","2_9","VAL","VIL",76,77,27,11,21,17,16,26,20,15,0,0,"VIL","VAL",0,1,"2022-2023"
3,"Regular Season","3_1","ZAL","BOL",68,65,16,15,21,16,24,14,15,12,0,0,"ZAL","BOL",1,0,"2022-2023"
3,"Regular Season","3_2","EFE","VAL",91,92,21,24,23,23,20,25,21,26,0,0,"VAL","EFE",0,1,"2022-2023"
3,"Regular Season","3_3","FEN","VIL",84,63,25,17,23,19,19,17,10,17,0,0,"FEN","VIL",1,0,"2022-2023"
3,"Regular Season","3_4","MAC","ASM",78,70,14,17,21,26,20,22,17,11,0,0,"MAC","ASM",1,0,"2022-2023"
3,"Regular Season","3_5","BAY","BAR",73,84,18,16,19,20,18,19,28,19,0,0,"BAR","BAY",0,1,"2022-2023"
3,"Regular Season","3_6","PAR","MIL",75,80,27,22,12,14,17,24,21,18,0,0,"MIL","PAR",0,1,"2022-2023"
3,"Regular Season","3_7","BER","PAN",94,65,17,26,21,30,9,24,12,20,0,0,"BER","PAN",1,0,"2022-2023"
