Fixture,Phase,IDGAME,Home,Away,Home_Points,Away_Points,Q1H,Q2H,Q3H,Q4H,Q1A,Q2A,Q3A,Q4A,EXH,EXA,Winner,Loser,Home_win,Away_win,Season
1,Regular Season,1-1,EFE,ZEN,69,73,10,16,28,15,15,11,23,24,0,0,ZEN,EFE,0,1,2020-2021
1,Regular Season,1-2,BAR,CSK,76,66,24,17,14,21,14,19,15,18,0,0,BAR,CSK,1,0,2020-2021
1,Regular Season,1-3,MAC,BER,80,73,19,30,18,13,29,12,17,15,0,0,MAC,BER,1,0,2020-2021
1,Regular Season,1-4,OLY,ZAL,67,68,18,19,21,9,23,11,13,21,0,0,ZAL,OLY,0,1,2020-2021
1,Regular Season,1-5,VAL,VIL,65,63,18,19,13,15,17,16,14,16,0,0,VAL,VIL,1,0,2020-2021
1,Regular Season,1-6,BAY,MIL,79,81,14,17,24,15,15,17,22,16,9,11,MIL,BAY,0,1,2020-2021
1,Regular Season,1-7,KHI,PAN,76,78,17,22,23,14,24,17,18,19,0,0,PAN,KHI,0,1,2020-2021
1,Regular Season,1-8,FEN,CRV,77,63,24,18,15,20,20,10,11,22,0,0,FEN,CRV,1,0,2020-2021
1,Regular Season,1-9,BAS,RMB,76,63,15,18,19,24,16,13,20,14,0,0,BAS,RMB,1,0,2020-2021
2,Regular Season,2-1,EFE,FEN,71,80,23,12,19,17,16,26,19,19,0,0,FEN,EFE,0,1,2020-2021
2,Regular Season,2-2,CSK,MAC,76,72,20,11,14,31,15,15,14,28,0,0,CSK,MAC,1,0,2020-2021
2,Regular Season,2-3,RMB,VAL,77,93,19,20,14,24,17,27,24,25,0,0,VAL,RMB,0,1,2020-2021
2,Regular Season,2-4,BER,BAY,72,90,27,9,18,18,21,31,19,19,0,0,BAY,BER,0,1,2020-2021
2,Regular Season,2-5,MIL,VIL,87,73,20,25,16,26,17,23,14,19,0,0,MIL,VIL,1,0,2020-2021
2,Regular Season,2-6,PAN,OLY,71,78,12,23,22,14,22,22,18,16,0,0,OLY,PAN,0,1,2020-2021
2,Regular Season,2-7,CRV,BAS,90,73,23,13,29,25,16,15,18,24,0,0,CRV,BAS,1,0,2020-2021
2,Regular Season,2-8,ZEN,BAR,74,70,16,19,19,20,19,19,17,15,0,0,ZEN,BAR,1,0,2020-2021
2,Regular Season,2-9,KHI,ZAL,70,84,20,12,16,22,17,24,26,17,0,0,ZAL,KHI,0,1,2020-2021
3,Regular Season,3-1,BER,EFE,72,93,14,21,20,17,29,24,17,23,0,0,EFE,BER,0,1,2020-2021
3,Regular Season,3-2,CRV,ZAL,69,75,19,14,27,9,19,20,23,13,0,0,ZAL,CRV,0,1,2020-2021
3,Regular Season,3-3,VAL,BAR,66,71,19,16,9,22,16,17,21,17,0,0,BAR,VAL,0,1,2020-2021
3,Regular Season,3-4,VIL,PAN,97,73,20,24,24,29,17,13,21,22,0,0,VIL,PAN,1,0,2020-2021
3,Regular Season,3-5,BAS,ZEN,70,77,13,15,23,19,10,24,22,21,0,0,ZEN,BAS,0,1,2020-2021
3,Regular Season,3-6,MAC,BAY,82,85,15,10,30,27,15,19,26,25,0,0,BAY,MAC,0,1,2020-2021
3,Regular Season,3-7,OLY,MIL,86,75,18,18,27,23,21,21,16,17,0,0,OLY,MIL,1,0,2020-2021
3,Regular Season,3-8,RMB,KHI,94,85,25,24,21,24,25,16,16,28,0,0,RMB,KHI,1,0,2020-2021
3,Regular Season,3-9,FEN,CSK,77,78,10,21,20,18,12,20,17,20,8,9,CSK,FEN,0,1,2020-2021
4,Regular Season,4-1,BAR,PAN,97,89,13,23,22,17,18,17,23,17,22,14,BAR,PAN,1,0,2020-2021
4,Regular Season,4-2,VAL,ZEN,72,85,12,27,21,12,16,17,32,20,0,0,ZEN,VAL,0,1,2020-2021
4,Regular Season,4-3,VIL,CRV,68,89,21,17,15,15,17,27,23,22,0,0,CRV,VIL,0,1,2020-2021
4,Regular Season,4-4,ZAL,EFE,89,73,25,16,25,23,16,19,20,18,0,0,ZAL,EFE,1,0,2020-2021
4,Regular Season,4-5,CSK,BER,88,93,19,32,14,23,17,30,21,25,0,0,BER,CSK,0,1,2020-2021
4,Regular Season,4-6,MIL,RMB,78,70,10,21,23,24,19,23,13,15,0,0,MIL,RMB,1,0,2020-2021
4,Regular Season,4-7,OLY,MAC,85,82,15,29,25,16,22,18,26,16,0,0,OLY,MAC,1,0,2020-2021
4,Regular Season,4-8,FEN,BAY,71,75,28,17,13,13,9,16,23,27,0,0,BAY,FEN,0,1,2020-2021
4,Regular Season,4-9,BAS,KHI,77,60,15,20,19,23,18,18,11,13,0,0,BAS,KHI,1,0,2020-2021
5,Regular Season,5-1,BER,BAS,95,91,25,20,29,21,19,25,28,19,0,0,BER,BAS,1,0,2020-2021
5,Regular Season,5-2,PAN,FEN,82,68,22,15,25,20,13,17,26,12,0,0,PAN,FEN,1,0,2020-2021
5,Regular Season,5-3,CRV,CSK,86,84,18,17,11,27,20,23,8,22,13,11,CRV,CSK,1,0,2020-2021
5,Regular Season,5-4,ZEN,MIL,79,70,19,21,14,25,15,23,16,16,0,0,ZEN,MIL,1,0,2020-2021
5,Regular Season,5-5,ZAL,VAL,82,94,27,18,12,25,22,15,30,27,0,0,VAL,ZAL,0,1,2020-2021
5,Regular Season,5-6,EFE,VIL,72,68,13,20,15,24,19,8,17,24,0,0,EFE,VIL,1,0,2020-2021
5,Regular Season,5-7,BAR,RMB,79,72,18,30,16,15,14,13,25,20,0,0,BAR,RMB,1,0,2020-2021
5,Regular Season,5-8,BAY,OLY,74,68,22,17,22,13,18,16,19,15,0,0,BAY,OLY,1,0,2020-2021
5,Regular Season,5-9,KHI,MAC,87,89,18,15,22,26,16,20,22,23,6,8,MAC,KHI,0,1,2020-2021
6,Regular Season,6-1,CSK,VAL,84,75,17,27,18,22,16,19,23,17,0,0,CSK,VAL,1,0,2020-2021
6,Regular Season,6-2,MAC,FEN,65,75,22,16,16,11,18,17,21,19,0,0,FEN,MAC,0,1,2020-2021
6,Regular Season,6-3,RMB,BAY,100,82,27,22,21,30,17,28,16,21,0,0,RMB,BAY,1,0,2020-2021
6,Regular Season,6-4,ZEN,PAN,112,83,26,21,29,36,22,18,20,23,0,0,ZEN,PAN,1,0,2020-2021
6,Regular Season,6-5,VIL,ZAL,74,83,23,27,10,14,13,28,16,26,0,0,ZAL,VIL,0,1,2020-2021
6,Regular Season,6-6,KHI,CRV,83,77,19,25,14,25,22,18,17,20,0,0,KHI,CRV,1,0,2020-2021
6,Regular Season,6-7,MIL,BER,75,55,19,23,22,11,13,9,19,14,0,0,MIL,BER,1,0,2020-2021
