"","Fixture","Phase","IDGAME","Home","Away","Home_Points","Away_Points","Q1H","Q2H","Q3H","Q4H","Q1A","Q2A","Q3A","Q4A","EXH","EXA","Winner","Loser","Home_win","Away_win","Season","idseason"
"1",1,"Regular Season","1-1","KHI","MAC",89,83,24,24,27,14,21,19,21,22,0,0,"KHI","MAC",1,0,"2019-2020","1-1_2019-2020"
"2",1,"Regular Season","1-2","PAN","CRV",87,82,14,23,29,21,17,18,18,29,0,0,"PAN","CRV",1,0,"2019-2020","1-2_2019-2020"
"3",1,"Regular Season","1-3","BAY","MIL",78,64,22,20,19,17,23,11,16,14,0,0,"BAY","MIL",1,0,"2019-2020","1-3_2019-2020"
"4",1,"Regular Season","1-4","RMB","FEN",81,77,30,13,21,17,21,21,13,22,0,0,"RMB","FEN",1,0,"2019-2020","1-4_2019-2020"
"5",1,"Regular Season","1-5","ZAL","BAS",58,70,19,11,16,12,19,18,18,15,0,0,"BAS","ZAL",0,1,"2019-2020","1-5_2019-2020"
"6",1,"Regular Season","1-6","EFE","BAR",64,74,14,12,20,18,19,18,12,25,0,0,"BAR","EFE",0,1,"2019-2020","1-6_2019-2020"
"7",1,"Regular Season","1-7","BER","ZEN",85,65,24,23,20,18,18,13,19,15,0,0,"BER","ZEN",1,0,"2019-2020","1-7_2019-2020"
"8",1,"Regular Season","1-8","VIL","OLY",82,63,21,19,16,26,24,9,14,16,0,0,"VIL","OLY",1,0,"2019-2020","1-8_2019-2020"
"9",1,"Regular Season","1-9","VAL","CSK",71,96,17,21,16,17,24,26,26,20,0,0,"CSK","VAL",0,1,"2019-2020","1-9_2019-2020"
"10",2,"Regular Season","2-1","CSK","BAY",79,68,22,25,13,19,18,22,10,18,0,0,"CSK","BAY",1,0,"2019-2020","2-1_2019-2020"
"11",2,"Regular Season","2-2","CRV","FEN",68,56,15,20,16,17,16,14,13,13,0,0,"CRV","FEN",1,0,"2019-2020","2-2_2019-2020"
"12",2,"Regular Season","2-3","VIL","PAN",79,78,22,18,10,29,22,24,17,15,0,0,"VIL","PAN",1,0,"2019-2020","2-3_2019-2020"
"13",2,"Regular Season","2-4","RMB","MAC",86,85,22,28,15,21,22,22,21,20,0,0,"RMB","MAC",1,0,"2019-2020","2-4_2019-2020"
"14",2,"Regular Season","2-5","ZEN","BAR",63,87,20,20,16,7,19,24,16,28,0,0,"BAR","ZEN",0,1,"2019-2020","2-5_2019-2020"
"15",2,"Regular Season","2-6","KHI","BAS",79,76,27,16,19,17,17,22,16,21,0,0,"KHI","BAS",1,0,"2019-2020","2-6_2019-2020"
"16",2,"Regular Season","2-7","EFE","BER",106,105,27,16,26,26,25,15,32,23,11,10,"EFE","BER",1,0,"2019-2020","2-7_2019-2020"
"17",2,"Regular Season","2-8","OLY","VAL",89,63,31,23,18,17,22,8,14,19,0,0,"OLY","VAL",1,0,"2019-2020","2-8_2019-2020"
"18",2,"Regular Season","2-9","MIL","ZAL",85,81,23,20,21,21,7,29,23,22,0,0,"MIL","ZAL",1,0,"2019-2020","2-9_2019-2020"
"19",3,"Regular Season","3-1","CSK","KHI",99,86,29,25,22,23,20,24,16,26,0,0,"CSK","KHI",1,0,"2019-2020","3-1_2019-2020"
"20",3,"Regular Season","3-2","ZAL","RMB",86,73,18,20,19,29,15,19,26,13,0,0,"ZAL","RMB",1,0,"2019-2020","3-2_2019-2020"
"21",3,"Regular Season","3-3","FEN","BAS",87,80,22,17,24,24,22,14,22,22,0,0,"FEN","BAS",1,0,"2019-2020","3-3_2019-2020"
"22",3,"Regular Season","3-4","MAC","CRV",84,69,24,15,16,12,13,17,17,20,17,2,"MAC","CRV",1,0,"2019-2020","3-4_2019-2020"
"23",3,"Regular Season","3-5","BAY","VIL",104,63,30,27,26,21,13,22,16,12,0,0,"BAY","VIL",1,0,"2019-2020","3-5_2019-2020"
"24",3,"Regular Season","3-6","PAN","MIL",78,79,20,18,19,21,24,14,23,18,0,0,"MIL","PAN",0,1,"2019-2020","3-6_2019-2020"
"25",3,"Regular Season","3-7","OLY","ZEN",68,77,19,17,11,17,20,18,15,11,4,13,"ZEN","OLY",0,1,"2019-2020","3-7_2019-2020"
"26",3,"Regular Season","3-8","BAR","BER",103,84,19,27,26,31,25,19,17,23,0,0,"BAR","BER",1,0,"2019-2020","3-8_2019-2020"
"27",3,"Regular Season","3-9","VAL","EFE",78,83,27,19,17,15,23,16,30,14,0,0,"EFE","VAL",0,1,"2019-2020","3-9_2019-2020"
"28",4,"Regular Season","4-1","ZEN","PAN",79,89,20,18,22,19,22,18,25,24,0,0,"PAN","ZEN",0,1,"2019-2020","4-1_2019-2020"
"29",4,"Regular Season","4-2","EFE","RMB",76,60,15,14,27,20,11,20,19,10,0,0,"EFE","RMB",1,0,"2019-2020","4-2_2019-2020"
"30",4,"Regular Season","4-3","MAC","VAL",76,63,18,15,23,20,11,17,16,19,0,0,"MAC","VAL",1,0,"2019-2020","4-3_2019-2020"
"31",4,"Regular Season","4-4","BAY","KHI",74,87,19,18,18,19,17,27,26,17,0,0,"KHI","BAY",0,1,"2019-2020","4-4_2019-2020"
"32",4,"Regular Season","4-5","CRV","BAR",65,73,16,20,13,16,12,21,24,16,0,0,"BAR","CRV",0,1,"2019-2020","4-5_2019-2020"
"33",4,"Regular Season","4-6","ZAL","VIL",70,56,14,19,22,15,20,8,17,11,0,0,"ZAL","VIL",1,0,"2019-2020","4-6_2019-2020"
"34",4,"Regular Season","4-7","BER","CSK",66,82,15,19,8,24,17,22,22,21,0,0,"CSK","BER",0,1,"2019-2020","4-7_2019-2020"
"35",4,"Regular Season","4-8","MIL","FEN",87,74,20,21,25,21,11,18,26,19,0,0,"MIL","FEN",1,0,"2019-2020","4-8_2019-2020"
"36",4,"Regular Season","4-9","BAS","OLY",82,66,23,18,17,24,21,15,13,17,0,0,"BAS","OLY",1,0,"2019-2020","4-9_2019-2020"
"37",5,"Regular Season","5-1","KHI","PAN",103,86,25,25,27,26,29,26,18,13,0,0,"KHI","PAN",1,0,"2019-2020","5-1_2019-2020"
"38",5,"Regular Season","5-2","EFE","CRV",85,70,21,17,18,29,9,17,25,19,0,0,"EFE","CRV",1,0,"2019-2020","5-2_2019-2020"
"39",5,"Regular Season","5-3","BER","MIL",78,81,18,15,17,28,17,9,27,28,0,0,"MIL","BER",0,1,"2019-2020","5-3_2019-2020"
"40",5,"Regular Season","5-4","VIL","BAS",66,63,16,14,18,18,23,13,13,14,0,0,"VIL","BAS",1,0,"2019-2020","5-4_2019-2020"
"41",5,"Regular Season","5-5","CSK","OLY",79,84,24,15,21,19,18,25,21,20,0,0,"OLY","CSK",0,1,"2019-2020","5-5_2019-2020"
"42",5,"Regular Season","5-6","ZAL","ZEN",70,82,18,10,15,19,14,14,16,18,8,20,"ZEN","ZAL",0,1,"2019-2020","5-6_2019-2020"
"43",5,"Regular Season","5-7","MAC","FEN",67,55,12,29,11,15,6,15,20,14,0,0,"MAC","FEN",1,0,"2019-2020","5-7_2019-2020"
"44",5,"Regular Season","5-8","BAY","RMB",95,86,22,19,26,28,20,18,19,29,0,0,"BAY","RMB",1,0,"2019-2020","5-8_2019-2020"
"45",5,"Regular Season","5-9","BAR","VAL",83,77,21,23,18,21,19,22,24,12,0,0,"BAR","VAL",1,0,"2019-2020","5-9_2019-2020"
"46",6,"Regular Season","6-1","CRV","KHI",90,78,28,22,30,10,22,19,15,22,0,0,"CRV","KHI",1,0,"2019-2020","6-1_2019-2020"
"47",6,"Regular Season","6-2","PAN","EFE",86,70,24,18,21,23,19,19,16,16,0,0,"PAN","EFE",1,0,"2019-2020","6-2_2019-2020"
"48",6,"Regular Season","6-3","ZEN","CSK",70,87,15,22,22,11,26,22,13,26,0,0,"CSK","ZEN",0,1,"2019-2020","6-3_2019-2020"
"49",6,"Regular Season","6-4","FEN","ZAL",76,79,17,23,19,17,17,16,19,27,0,0,"ZAL","FEN",0,1,"2019-2020","6-4_2019-2020"
"50",6,"Regular Season","6-5","VAL","VIL",81,72,16,19,21,25,18,18,16,20,0,0,"VAL","VIL",1,0,"2019-2020","6-5_2019-2020"
"51",6,"Regular Season","6-6","MIL","BAR",83,70,15,15,22,31,20,17,21,12,0,0,"MIL","BAR",1,0,"2019-2020","6-6_2019-2020"
"52",6,"Regular Season","6-7","OLY","MAC",65,90,21,19,16,9,24,21,23,22,0,0,"MAC","OLY",0,1,"2019-2020","6-7_2019-2020"
"53",6,"Regular Season","6-8","BAS","BAY",93,60,29,23,14,27,10,19,18,13,0,0,"BAS","BAY",1,0,"2019-2020","6-8_2019-2020"
"54",6,"Regular Season","6-9","RMB","BER",85,71,28,14,22,21,14,24,18,15,0,0,"RMB","BER",1,0,"2019-2020","6-9_2019-2020"
"55",7,"Regular Season","7-1","ZEN","KHI",73,87,28,15,17,13,28,24,16,19,0,0,"KHI","ZEN",0,1,"2019-2020","7-1_2019-2020"
"56",7,"Regular Season","7-2","CRV","RMB",60,75,9,18,25,8,12,21,16,26,0,0,"RMB","CRV",0,1,"2019-2020","7-2_2019-2020"
"57",7,"Regular Season","7-3","OLY","EFE",67,86,24,11,23,9,21,32,14,19,0,0,"EFE","OLY",0,1,"2019-2020","7-3_2019-2020"
"58",7,"Regular Season","7-4","MAC","BER",104,78,21,31,31,21,19,18,18,23,0,0,"MAC","BER",1,0,"2019-2020","7-4_2019-2020"
"59",7,"Regular Season","7-5","MIL","BAS",81,74,14,26,16,25,19,15,19,21,0,0,"MIL","BAS",1,0,"2019-2020","7-5_2019-2020"
"60",7,"Regular Season","7-6","FEN","BAY",90,82,18,22,21,29,15,24,23,20,0,0,"FEN","BAY",1,0,"2019-2020","7-6_2019-2020"
"61",7,"Regular Season","7-7","ZAL","BAR",86,93,20,20,21,25,23,24,19,27,0,0,"BAR","ZAL",0,1,"2019-2020","7-7_2019-2020"
"62",7,"Regular Season","7-8","PAN","VAL",91,80,26,19,23,23,18,17,29,16,0,0,"PAN","VAL",1,0,"2019-2020","7-8_2019-2020"
"63",7,"Regular Season","7-9","VIL","CSK",67,66,12,21,17,17,17,13,22,14,0,0,"VIL","CSK",1,0,"2019-2020","7-9_2019-2020"
"64",8,"Regular Season","8-1","KHI","MIL",87,79,22,25,18,22,25,26,14,14,0,0,"KHI","MIL",1,0,"2019-2020","8-1_2019-2020"
"65",8,"Regular Season","8-2","EFE","ZEN",90,88,21,21,27,21,14,16,20,38,0,0,"EFE","ZEN",1,0,"2019-2020","8-2_2019-2020"
"66",8,"Regular Season","8-3","PAN","BER",95,96,31,18,20,19,31,27,16,14,7,8,"BER","PAN",0,1,"2019-2020","8-3_2019-2020"
"67",8,"Regular Season","8-4","BAS","MAC",83,113,21,11,26,25,28,27,31,27,0,0,"MAC","BAS",0,1,"2019-2020","8-4_2019-2020"
"68",8,"Regular Season","8-5","RMB","BAR",86,76,32,16,23,15,14,36,14,12,0,0,"RMB","BAR",1,0,"2019-2020","8-5_2019-2020"
"69",8,"Regular Season","8-6","CSK","FEN",88,70,21,18,25,24,17,17,15,21,0,0,"CSK","FEN",1,0,"2019-2020","8-6_2019-2020"
"70",8,"Regular Season","8-7","CRV","VIL",72,74,16,20,18,11,14,18,15,18,7,9,"VIL","CRV",0,1,"2019-2020","8-7_2019-2020"
"71",8,"Regular Season","8-8","OLY","ZAL",83,74,19,18,23,23,18,21,16,19,0,0,"OLY","ZAL",1,0,"2019-2020","8-8_2019-2020"
"72",8,"Regular Season","8-9","VAL","BAY",82,56,20,19,20,23,16,13,18,9,0,0,"VAL","BAY",1,0,"2019-2020","8-9_2019-2020"
"73",9,"Regular Season","9-1","ZAL","PAN",85,86,16,17,20,32,19,22,23,22,0,0,"PAN","ZAL",0,1,"2019-2020","9-1_2019-2020"
"74",9,"Regular Season","9-2","BER","CRV",93,80,21,25,21,26,15,19,20,26,0,0,"BER","CRV",1,0,"2019-2020","9-2_2019-2020"
"75",9,"Regular Season","9-3","BAY","OLY",85,82,23,20,12,30,17,27,19,19,0,0,"BAY","OLY",1,0,"2019-2020","9-3_2019-2020"
"76",9,"Regular Season","9-4","VIL","EFE",84,90,22,23,21,18,25,21,24,20,0,0,"EFE","VIL",0,1,"2019-2020","9-4_2019-2020"
"77",9,"Regular Season","9-5","MIL","MAC",92,88,21,26,24,21,21,21,22,24,0,0,"MIL","MAC",1,0,"2019-2020","9-5_2019-2020"
"78",9,"Regular Season","9-6","RMB","KHI",104,76,31,34,27,12,25,17,14,20,0,0,"RMB","KHI",1,0,"2019-2020","9-6_2019-2020"
"79",9,"Regular Season","9-7","VAL","ZEN",94,90,15,18,24,37,16,22,25,27,0,0,"VAL","ZEN",1,0,"2019-2020","9-7_2019-2020"
"80",9,"Regular Season","9-8","BAR","FEN",89,63,25,19,23,22,15,15,10,23,0,0,"BAR","FEN",1,0,"2019-2020","9-8_2019-2020"
"81",9,"Regular Season","9-9","BAS","CSK",80,70,24,21,17,18,19,23,17,11,0,0,"BAS","CSK",1,0,"2019-2020","9-9_2019-2020"
"82",10,"Regular Season","10-1","ZAL","CRV",59,61,21,10,15,13,16,17,14,14,0,0,"CRV","ZAL",0,1,"2019-2020","10-1_2019-2020"
"83",10,"Regular Season","10-2","BER","OLY",80,99,17,21,19,23,30,25,21,23,0,0,"OLY","BER",0,1,"2019-2020","10-2_2019-2020"
"84",10,"Regular Season","10-3","MIL","EFE",76,81,17,22,21,16,16,25,21,19,0,0,"EFE","MIL",0,1,"2019-2020","10-3_2019-2020"
"85",10,"Regular Season","10-4","VAL","KHI",89,84,26,25,21,17,33,15,22,14,0,0,"VAL","KHI",1,0,"2019-2020","10-4_2019-2020"
"86",10,"Regular Season","10-5","BAY","PAN",75,87,24,11,18,22,16,20,29,22,0,0,"PAN","BAY",0,1,"2019-2020","10-5_2019-2020"
"87",10,"Regular Season","10-6","VIL","FEN",72,88,16,20,16,20,19,29,19,21,0,0,"FEN","VIL",0,1,"2019-2020","10-6_2019-2020"
"88",10,"Regular Season","10-7","BAR","MAC",96,73,21,22,31,22,18,28,20,7,0,0,"BAR","MAC",1,0,"2019-2020","10-7_2019-2020"
"89",10,"Regular Season","10-8","BAS","ZEN",70,60,15,19,18,18,18,10,16,16,0,0,"BAS","ZEN",1,0,"2019-2020","10-8_2019-2020"
"90",10,"Regular Season","10-9","RMB","CSK",97,81,23,29,23,22,19,29,16,17,0,0,"RMB","CSK",1,0,"2019-2020","10-9_2019-2020"
"91",11,"Regular Season","11-1","FEN","KHI",89,76,28,16,21,24,24,25,6,21,0,0,"FEN","KHI",1,0,"2019-2020","11-1_2019-2020"
"92",11,"Regular Season","11-2","CRV","VAL",76,73,17,20,23,16,19,22,10,22,0,0,"CRV","VAL",1,0,"2019-2020","11-2_2019-2020"
"93",11,"Regular Season","11-3","BER","ZAL",69,62,15,17,15,22,7,19,20,16,0,0,"BER","ZAL",1,0,"2019-2020","11-3_2019-2020"
"94",11,"Regular Season","11-4","PAN","BAS",100,68,20,26,26,28,17,19,15,17,0,0,"PAN","BAS",1,0,"2019-2020","11-4_2019-2020"
"95",11,"Regular Season","11-5","MAC","VIL",93,62,20,23,24,26,17,17,13,15,0,0,"MAC","VIL",1,0,"2019-2020","11-5_2019-2020"
"96",11,"Regular Season","11-6","ZEN","RMB",71,86,19,18,19,15,22,22,22,20,0,0,"RMB","ZEN",0,1,"2019-2020","11-6_2019-2020"
"97",11,"Regular Season","11-7","EFE","BAY",104,75,30,27,19,28,22,18,18,17,0,0,"EFE","BAY",1,0,"2019-2020","11-7_2019-2020"
"98",11,"Regular Season","11-8","OLY","MIL",91,70,15,25,31,20,19,18,16,17,0,0,"OLY","MIL",1,0,"2019-2020","11-8_2019-2020"
"99",11,"Regular Season","11-9","BAR","CSK",67,96,20,18,12,17,18,33,25,20,0,0,"CSK","BAR",0,1,"2019-2020","11-9_2019-2020"
"100",12,"Regular Season","12-1","CSK","ZAL",85,82,9,23,19,18,17,14,19,19,16,13,"CSK","ZAL",1,0,"2019-2020","12-1_2019-2020"
"101",12,"Regular Season","12-2","MAC","BAY",77,56,22,19,12,24,18,9,21,8,0,0,"MAC","BAY",1,0,"2019-2020","12-2_2019-2020"
"102",12,"Regular Season","12-3","MIL","CRV",67,77,18,22,10,17,20,19,18,20,0,0,"CRV","MIL",0,1,"2019-2020","12-3_2019-2020"
"103",12,"Regular Season","12-4","RMB","VAL",111,99,30,23,27,31,29,20,21,29,0,0,"RMB","VAL",1,0,"2019-2020","12-4_2019-2020"
"104",12,"Regular Season","12-5","ZEN","VIL",75,70,17,13,23,22,15,21,13,21,0,0,"ZEN","VIL",1,0,"2019-2020","12-5_2019-2020"
"105",12,"Regular Season","12-6","KHI","BAR",94,102,22,26,22,24,31,30,23,18,0,0,"BAR","KHI",0,1,"2019-2020","12-6_2019-2020"
"106",12,"Regular Season","12-7","FEN","BER",107,102,30,11,24,23,16,24,22,26,19,14,"FEN","BER",1,0,"2019-2020","12-7_2019-2020"
"107",12,"Regular Season","12-8","PAN","OLY",99,93,18,28,17,23,17,22,22,25,13,7,"PAN","OLY",1,0,"2019-2020","12-8_2019-2020"
"108",12,"Regular Season","12-9","BAS","EFE",77,102,16,19,18,24,26,29,21,26,0,0,"EFE","BAS",0,1,"2019-2020","12-9_2019-2020"
"109",13,"Regular Season","13-1","KHI","BER",104,87,23,31,23,27,32,19,12,24,0,0,"KHI","BER",1,0,"2019-2020","13-1_2019-2020"
"110",13,"Regular Season","13-2","FEN","EFE",73,81,22,16,11,24,20,18,21,22,0,0,"EFE","FEN",0,1,"2019-2020","13-2_2019-2020"
"111",13,"Regular Season","13-3","CRV","BAS",64,72,14,17,12,21,20,12,24,16,0,0,"BAS","CRV",0,1,"2019-2020","13-3_2019-2020"
"112",13,"Regular Season","13-4","MAC","CSK",90,80,20,25,21,24,29,23,12,16,0,0,"MAC","CSK",1,0,"2019-2020","13-4_2019-2020"
"113",13,"Regular Season","13-5","RMB","OLY",93,77,21,20,31,21,10,20,18,29,0,0,"RMB","OLY",1,0,"2019-2020","13-5_2019-2020"
"114",13,"Regular Season","13-6","ZAL","VAL",82,86,21,27,9,25,19,28,17,22,0,0,"VAL","ZAL",0,1,"2019-2020","13-6_2019-2020"
"115",13,"Regular Season","13-7","BAY","ZEN",77,69,14,23,24,16,15,20,15,19,0,0,"BAY","ZEN",1,0,"2019-2020","13-7_2019-2020"
"116",13,"Regular Season","13-8","VIL","MIL",89,82,20,18,32,19,24,21,16,21,0,0,"VIL","MIL",1,0,"2019-2020","13-8_2019-2020"
"117",13,"Regular Season","13-9","BAR","PAN",98,86,28,27,16,27,23,24,18,21,0,0,"BAR","PAN",1,0,"2019-2020","13-9_2019-2020"
"118",14,"Regular Season","14-1","ZEN","MAC",71,82,21,9,12,29,21,10,28,23,0,0,"MAC","ZEN",0,1,"2019-2020","14-1_2019-2020"
"119",14,"Regular Season","14-2","ZAL","EFE",68,74,17,26,10,15,26,16,13,19,0,0,"EFE","ZAL",0,1,"2019-2020","14-2_2019-2020"
"120",14,"Regular Season","14-3","PAN","FEN",81,78,22,20,23,16,21,25,11,21,0,0,"PAN","FEN",1,0,"2019-2020","14-3_2019-2020"
"121",14,"Regular Season","14-4","RMB","MIL",76,67,18,12,24,22,21,18,13,15,0,0,"RMB","MIL",1,0,"2019-2020","14-4_2019-2020"
"122",14,"Regular Season","14-5","BAR","VIL",80,67,22,26,15,17,19,19,18,11,0,0,"BAR","VIL",1,0,"2019-2020","14-5_2019-2020"
"123",14,"Regular Season","14-6","VAL","BAS",105,77,19,27,23,36,19,17,22,19,0,0,"VAL","BAS",1,0,"2019-2020","14-6_2019-2020"
"124",14,"Regular Season","14-7","CSK","CRV",100,74,26,26,24,24,21,23,18,12,0,0,"CSK","CRV",1,0,"2019-2020","14-7_2019-2020"
"125",14,"Regular Season","14-8","BER","BAY",76,77,10,18,20,24,19,11,20,22,4,5,"BAY","BER",0,1,"2019-2020","14-8_2019-2020"
"126",14,"Regular Season","14-9","OLY","KHI",109,98,25,24,21,26,20,22,25,29,13,2,"OLY","KHI",1,0,"2019-2020","14-9_2019-2020"
"127",15,"Regular Season","15-1","FEN","ZEN",81,84,22,21,16,22,18,20,22,24,0,0,"ZEN","FEN",0,1,"2019-2020","15-1_2019-2020"
"128",15,"Regular Season","15-2","MAC","PAN",88,79,13,30,22,23,29,17,23,10,0,0,"MAC","PAN",1,0,"2019-2020","15-2_2019-2020"
"129",15,"Regular Season","15-3","MIL","VAL",78,71,26,17,19,16,24,19,10,18,0,0,"MIL","VAL",1,0,"2019-2020","15-3_2019-2020"
"130",15,"Regular Season","15-4","BAS","RMB",55,77,13,16,15,11,15,30,12,20,0,0,"RMB","BAS",0,1,"2019-2020","15-4_2019-2020"
"131",15,"Regular Season","15-5","KHI","ZAL",83,74,21,17,19,26,16,17,16,25,0,0,"KHI","ZAL",1,0,"2019-2020","15-5_2019-2020"
"132",15,"Regular Season","15-6","EFE","CSK",80,81,22,25,19,14,23,20,16,22,0,0,"CSK","EFE",0,1,"2019-2020","15-6_2019-2020"
"133",15,"Regular Season","15-7","CRV","OLY",88,81,16,24,21,27,21,29,11,20,0,0,"CRV","OLY",1,0,"2019-2020","15-7_2019-2020"
"134",15,"Regular Season","15-8","BAY","BAR",67,77,16,9,20,22,20,19,17,21,0,0,"BAR","BAY",0,1,"2019-2020","15-8_2019-2020"
"135",15,"Regular Season","15-9","VIL","BER",93,81,18,18,31,26,18,20,14,29,0,0,"VIL","BER",1,0,"2019-2020","15-9_2019-2020"
"136",16,"Regular Season","16-1","CSK","MIL",78,75,19,13,27,19,13,26,22,14,0,0,"CSK","MIL",1,0,"2019-2020","16-1_2019-2020"
"137",16,"Regular Season","16-2","EFE","MAC",99,79,23,25,32,19,19,22,17,21,0,0,"EFE","MAC",1,0,"2019-2020","16-2_2019-2020"
"138",16,"Regular Season","16-3","BER","BAS",81,57,23,18,16,24,15,11,11,20,0,0,"BER","BAS",1,0,"2019-2020","16-3_2019-2020"
"139",16,"Regular Season","16-4","PAN","RMB",75,87,18,16,24,17,22,22,22,21,0,0,"RMB","PAN",0,1,"2019-2020","16-4_2019-2020"
"140",16,"Regular Season","16-5","VIL","KHI",92,88,24,26,24,18,24,21,12,31,0,0,"VIL","KHI",1,0,"2019-2020","16-5_2019-2020"
"141",16,"Regular Season","16-6","ZEN","CRV",58,65,16,24,7,11,20,17,14,14,0,0,"CRV","ZEN",0,1,"2019-2020","16-6_2019-2020"
"142",16,"Regular Season","16-7","FEN","VAL",98,100,24,24,22,14,22,18,19,25,14,16,"VAL","FEN",0,1,"2019-2020","16-7_2019-2020"
"143",16,"Regular Season","16-8","BAY","ZAL",73,98,13,22,15,23,21,22,25,30,0,0,"ZAL","BAY",0,1,"2019-2020","16-8_2019-2020"
"144",16,"Regular Season","16-9","BAR","OLY",90,80,20,20,29,21,12,27,19,22,0,0,"BAR","OLY",1,0,"2019-2020","16-9_2019-2020"
"145",17,"Regular Season","17-1","CRV","BAY",93,63,25,28,18,22,13,18,15,17,0,0,"CRV","BAY",1,0,"2019-2020","17-1_2019-2020"
"146",17,"Regular Season","17-2","ZAL","MAC",73,68,17,12,24,20,21,13,19,15,0,0,"ZAL","MAC",1,0,"2019-2020","17-2_2019-2020"
"147",17,"Regular Season","17-3","OLY","FEN",87,96,20,20,21,26,22,30,22,22,0,0,"FEN","OLY",0,1,"2019-2020","17-3_2019-2020"
"148",17,"Regular Season","17-4","BAS","BAR",76,74,21,26,18,11,15,16,23,20,0,0,"BAS","BAR",1,0,"2019-2020","17-4_2019-2020"
"149",17,"Regular Season","17-5","CSK","PAN",102,106,22,23,24,20,17,32,20,20,13,17,"PAN","CSK",0,1,"2019-2020","17-5_2019-2020"
"150",17,"Regular Season","17-6","EFE","KHI",101,82,21,26,30,24,19,24,18,21,0,0,"EFE","KHI",1,0,"2019-2020","17-6_2019-2020"
"151",17,"Regular Season","17-7","VIL","RMB",77,87,21,16,22,18,23,29,20,15,0,0,"RMB","VIL",0,1,"2019-2020","17-7_2019-2020"
"152",17,"Regular Season","17-8","MIL","ZEN",73,72,19,22,14,18,17,24,15,16,0,0,"MIL","ZEN",1,0,"2019-2020","17-8_2019-2020"
"153",17,"Regular Season","17-9","VAL","BER",91,77,18,19,25,29,27,15,15,20,0,0,"VAL","BER",1,0,"2019-2020","17-9_2019-2020"
"154",18,"Regular Season","18-1","BER","MAC",89,95,28,17,19,25,31,19,22,23,0,0,"MAC","BER",0,1,"2019-2020","18-1_2019-2020"
"155",18,"Regular Season","18-2","MIL","PAN",96,87,19,25,29,23,18,16,23,30,0,0,"MIL","PAN",1,0,"2019-2020","18-2_2019-2020"
"156",18,"Regular Season","18-3","BAS","FEN",65,79,11,17,17,20,20,22,20,17,0,0,"FEN","BAS",0,1,"2019-2020","18-3_2019-2020"
"157",18,"Regular Season","18-4","RMB","ZAL",88,82,20,27,21,20,18,23,18,23,0,0,"RMB","ZAL",1,0,"2019-2020","18-4_2019-2020"
"158",18,"Regular Season","18-5","KHI","ZEN",81,83,15,22,11,33,16,20,25,22,0,0,"ZEN","KHI",0,1,"2019-2020","18-5_2019-2020"
"159",18,"Regular Season","18-6","BAY","CSK",77,84,10,15,27,25,18,23,18,25,0,0,"CSK","BAY",0,1,"2019-2020","18-6_2019-2020"
"160",18,"Regular Season","18-7","VIL","CRV",80,83,30,19,16,15,13,17,34,19,0,0,"CRV","VIL",0,1,"2019-2020","18-7_2019-2020"
"161",18,"Regular Season","18-8","BAR","EFE",82,86,19,23,16,24,24,21,21,20,0,0,"EFE","BAR",0,1,"2019-2020","18-8_2019-2020"
"162",18,"Regular Season","18-9","VAL","OLY",91,93,16,20,27,28,16,23,31,23,0,0,"OLY","VAL",0,1,"2019-2020","18-9_2019-2020"
"163",19,"Regular Season","19-1","CSK","RMB",60,55,14,12,17,17,21,12,10,12,0,0,"CSK","RMB",1,0,"2019-2020","19-1_2019-2020"
"164",19,"Regular Season","19-2","KHI","VAL",75,84,23,24,15,13,29,15,19,21,0,0,"VAL","KHI",0,1,"2019-2020","19-2_2019-2020"
"165",19,"Regular Season","19-3","EFE","MIL",88,68,16,26,23,23,15,18,16,19,0,0,"EFE","MIL",1,0,"2019-2020","19-3_2019-2020"
"166",19,"Regular Season","19-4","FEN","VIL",86,64,23,26,13,24,15,13,15,21,0,0,"FEN","VIL",1,0,"2019-2020","19-4_2019-2020"
"167",19,"Regular Season","19-5","OLY","BER",86,93,22,20,29,15,19,31,18,25,0,0,"BER","OLY",0,1,"2019-2020","19-5_2019-2020"
"168",19,"Regular Season","19-6","MAC","BAR",92,85,20,28,17,27,27,14,16,28,0,0,"MAC","BAR",1,0,"2019-2020","19-6_2019-2020"
"169",19,"Regular Season","19-7","ZEN","BAS",72,66,23,16,14,19,16,15,18,17,0,0,"ZEN","BAS",1,0,"2019-2020","19-7_2019-2020"
"170",19,"Regular Season","19-8","CRV","ZAL",70,76,20,18,15,17,22,16,19,19,0,0,"ZAL","CRV",0,1,"2019-2020","19-8_2019-2020"
"171",19,"Regular Season","19-9","PAN","BAY",98,83,28,25,23,22,18,35,22,8,0,0,"PAN","BAY",1,0,"2019-2020","19-9_2019-2020"
"172",20,"Regular Season","20-1","KHI","RMB",102,94,25,30,25,22,21,23,25,25,0,0,"KHI","RMB",1,0,"2019-2020","20-1_2019-2020"
"173",20,"Regular Season","20-2","FEN","BAR",74,80,12,27,17,18,24,18,19,19,0,0,"BAR","FEN",0,1,"2019-2020","20-2_2019-2020"
"174",20,"Regular Season","20-3","MAC","MIL",69,63,15,16,21,17,21,11,16,15,0,0,"MAC","MIL",1,0,"2019-2020","20-3_2019-2020"
"175",20,"Regular Season","20-4","CSK","BAS",94,90,27,25,23,19,25,21,12,32,0,0,"CSK","BAS",1,0,"2019-2020","20-4_2019-2020"
