Against,Team,IDGAME,Phase,Player,MIN,PTS,F2M,F2A,F2GP,F3M,F3A,F3GP,FTM,FTA,FTP,OR,DR,TR,AS,ST,TO,BLK,BLKR,PF,RF,PIR,HA,results,Team_PTS,Team_F2A,Team_F3A,Team_FTA,Team_F2M,Team_F3M,Team_FTM,Team_AS,Team_OR,Team_DR,Team_TR,Team_ST,Team_TO,Team_BLK,Team_PF,Team_PIR,Team_opp_PTS,Team_opp_F2A,Team_opp_F3A,Team_opp_FTA,Team_opp_F2M,Team_opp_F3M,Team_opp_FTM,Team_opp_AS,Team_opp_OR,Team_opp_DR,Team_opp_TR,Team_opp_ST,Team_opp_TO,Team_opp_BLK,Team_opp_PF,Team_opp_PIR,Points_per_shoot,Possesions,Offensive_rating,PIE,Assists_Ratio,As_To_ratio,EFG,FT_ratio,Game_score,True_shooting,Turnover_ratio,Usage,OR_percent,Season
CRV,MIL,1_3,Regular Season,Vlatko  Cancar,5.0,0,0,1,0.0,0,0,,0,0,,0,0,0,0,0,1,0,0,1,0,-3,A,W,92,36,24,18,23,11,13,18,8,21,29,8,13,0,16,108,82,46,19,13,28,6,8,19,9,19,28,8,10,0,21,86,0.0,1.9,0.0,-0.02,0.0,0.0,0.0,0.0,-2.1,0.0,52.63,4.0,0.0,2025-2026
CRV,MIL,1_3,Regular Season,Niccolo  Mannion,26.0,9,3,4,75.0,1,2,50.0,0,0,,0,2,2,5,0,3,0,0,3,4,12,A,W,92,36,24,18,23,11,13,18,8,21,29,8,13,0,16,108,82,46,19,13,28,6,8,19,9,19,28,8,10,0,21,86,1.5,8.6,104.7,0.05,58.1,1.7,75.0,0.0,6.3,75.0,34.88,3.4,0.0,2025-2026
CRV,MIL,1_3,Regular Season,Quinn  Ellis,12.0,2,1,2,50.0,0,1,0.0,0,1,0.0,0,0,0,2,2,2,0,0,1,2,2,A,W,92,36,24,18,23,11,13,18,8,21,29,8,13,0,16,108,82,46,19,13,28,6,8,19,9,19,28,8,10,0,21,86,0.5,5.2,38.5,0.0,38.5,1.0,33.3,0.33,0.9,29.1,38.46,4.5,0.0,2025-2026
CRV,MIL,1_3,Regular Season,Devin  Booker,12.0,0,0,2,0.0,0,0,,0,0,,2,1,3,1,0,1,0,0,1,0,0,A,W,92,36,24,18,23,11,13,18,8,21,29,8,13,0,16,108,82,46,19,13,28,6,8,19,9,19,28,8,10,0,21,86,0.0,1.0,0.0,-0.01,100.0,1.0,0.0,0.0,-0.4,0.0,100.0,2.5,11.8,2025-2026
CRV,MIL,1_3,Regular Season,Leandro  Bolmaro,22.0,9,2,5,40.0,1,1,100.0,2,2,100.0,2,3,5,2,0,1,0,0,1,1,12,A,W,92,36,24,18,23,11,13,18,8,21,29,8,13,0,16,108,82,46,19,13,28,6,8,19,9,19,28,8,10,0,21,86,1.12,5.6,160.7,0.07,35.7,2.0,58.3,0.33,8.3,65.4,17.86,3.5,11.8,2025-2026
CRV,MIL,1_3,Regular Season,Armoni  Brooks,14.0,8,2,2,100.0,1,6,16.7,1,2,50.0,1,2,3,2,2,0,0,0,1,2,10,A,W,92,36,24,18,23,11,13,18,8,21,29,8,13,0,16,108,82,46,19,13,28,6,8,19,9,19,28,8,10,0,21,86,0.8,7.6,105.3,0.05,26.3,inf,43.8,0.25,7.5,45.0,0.0,6.3,5.9,2025-2026
CRV,MIL,1_3,Regular Season,Zach  Leday,25.0,21,6,9,66.7,1,2,50.0,6,7,85.7,1,4,5,0,1,1,0,0,3,7,25,A,W,92,36,24,18,23,11,13,18,8,21,29,8,13,0,16,108,82,46,19,13,28,6,8,19,9,19,28,8,10,0,21,86,1.17,13.5,155.6,0.12,0.0,0.0,68.2,0.64,16.4,74.6,7.41,6.0,5.9,2025-2026
CRV,MIL,1_3,Regular Season,Giampaolo  Ricci,10.0,8,1,1,100.0,2,4,50.0,0,0,,0,0,0,1,0,0,0,0,0,0,7,A,W,92,36,24,18,23,11,13,18,8,21,29,8,13,0,16,108,82,46,19,13,28,6,8,19,9,19,28,8,10,0,21,86,1.6,4.8,166.7,0.05,20.8,inf,80.0,0.0,6.4,80.0,0.0,4.9,0.0,2025-2026
CRV,MIL,1_3,Regular Season,Marko  Guduric,17.0,10,0,1,0.0,3,4,75.0,1,2,50.0,1,1,2,1,2,1,0,0,1,1,11,A,W,92,36,24,18,23,11,13,18,8,21,29,8,13,0,16,108,82,46,19,13,28,6,8,19,9,19,28,8,10,0,21,86,1.43,5.6,178.6,0.06,17.9,1.0,90.0,0.4,9.6,85.0,17.86,4.0,5.9,2025-2026
CRV,MIL,1_3,Regular Season,Shavon  Shields,29.0,13,3,4,75.0,2,4,50.0,1,1,100.0,0,4,4,2,1,2,0,0,2,2,15,A,W,92,36,24,18,23,11,13,18,8,21,29,8,13,0,16,108,82,46,19,13,28,6,8,19,9,19,28,8,10,0,21,86,1.44,10.0,130.0,0.09,20.0,1.0,75.0,0.12,10.2,77.0,20.0,3.6,0.0,2025-2026
